protein	log2FC	p-val
sp|P0A8H6|YIHI_ECOLI	-0.286	0.063
sp|P75838|YCAO_ECOLI	-1.445	2.22e-16
sp|P0AFG3|ODO1_ECOLI	0.49	0.0
sp|P0AG40|RIBF_ECOLI	-0.189	0.137
sp|P68679|RS21_ECOLI	-0.116	0.059
sp|P37751|WBBK_ECOLI	-0.444	0.084
sp|P64602|MLAB_ECOLI	0.104	0.807
sp|P0ACQ4|OXYR_ECOLI	-0.038	0.645
sp|P27848|YIGL_ECOLI	0.432	0.004
sp|P0ADV7|MLAC_ECOLI	0.134	0.096
sp|P0AES6|GYRB_ECOLI	0.083	0.02
sp|P0AAP3|FRMR_ECOLI	0.27	0.128
sp|P31545|EFEB_ECOLI	2.459	3.376e-12
sp|P17117|NFSA_ECOLI	-0.123	0.608
sp|P0A6L0|DEOC_ECOLI	1.514	0.0
sp|P76329|MPGP_ECOLI	3.126	0.003
sp|P0AC92|GNSA_ECOLI	0.324	0.107
sp|P64554|QUEE_ECOLI	-0.25	0.049
sp|P0ABB0|ATPA_ECOLI	-0.349	1.313e-12
sp|P39401|OPGB_ECOLI	-0.788	0.023
sp|P31142|THTM_ECOLI	0.476	7.711e-06
sp|P04805|SYE_ECOLI	0.199	0.002
sp|P04825|AMPN_ECOLI	0.189	0.004
sp|P02925|RBSB_ECOLI	-0.81	6.661e-15
sp|P12998|BIOF_ECOLI	-0.116	0.482
sp|P32664|NUDC_ECOLI	0.393	0.009
sp|P60293|MUKF_ECOLI	-0.142	0.334
sp|P25745|MNMA_ECOLI	-0.472	7.767e-06
sp|P77808|CINAL_ECOLI	0.04	0.767
sp|P31554|LPTD_ECOLI	0.482	7.517e-12
sp|P09151|LEU1_ECOLI	-0.572	8.86e-14
sp|P00926|SDHD_ECOLI	0.715	0.005
sp|P25535|UBII_ECOLI	0.127	0.599
sp|P0C054|IBPA_ECOLI	-0.914	0.024
sp|P07604|TYRR_ECOLI	0.302	0.019
sp|P30749|MOAE_ECOLI	0.689	5.568e-06
sp|P0AGD1|SODC_ECOLI	0.949	9.663e-07
sp|P0AF18|NAGA_ECOLI	0.722	1.621e-05
sp|P0A7T3|RS16_ECOLI	-0.018	0.545
sp|P69228|BAER_ECOLI	0.791	1.689e-06
sp|P0A6H5|HSLU_ECOLI	0.461	3.704e-06
sp|P0ADE6|KBP_ECOLI	1.873	0.0
sp|P02359|RS7_ECOLI	-0.456	4.54e-08
sp|P0A7E1|PYRD_ECOLI	0.014	0.34
sp|P78067|YNJE_ECOLI	0.238	0.528
sp|P0A805|RRF_ECOLI	0.101	0.039
sp|P05637|APAH_ECOLI	0.525	0.003
sp|P45464|LPOA_ECOLI	-0.011	0.811
sp|P0AEG6|DSBC_ECOLI	-0.188	0.63
sp|P0AB52|YCHN_ECOLI	0.53	0.002
sp|P15038|HELD_ECOLI	0.353	0.003
sp|P0AAX3|YBIJ_ECOLI	1.78	6.479e-05
sp|P0ADC1|LPTE_ECOLI	0.109	0.702
sp|P69786|PTGCB_ECOLI	-0.015	0.112
sp|P64506|YEBY_ECOLI	0.04	0.763
sp|P33916|YEJF_ECOLI	0.822	0.01
sp|P0AB89|PUR8_ECOLI	-0.499	1.347e-10
sp|P0A7H6|RECR_ECOLI	-0.169	0.217
sp|P0ACD4|ISCU_ECOLI	-0.385	0.0001858
sp|P0ACZ8|CUSR_ECOLI	-0.664	3.381e-08
sp|P37617|ZNTA_ECOLI	1.136	1.448e-07
sp|P45799|NUDE_ECOLI	-0.328	0.04
sp|P23721|SERC_ECOLI	0.171	0.092
sp|P39830|YBAL_ECOLI	0.051	0.816
sp|P0ADS6|YGGE_ECOLI	0.95	0.0
sp|P37643|YHJE_ECOLI	-1.879	1.761e-06
sp|P0A6Z3|HTPG_ECOLI	0.286	2.848e-05
sp|P0ABB4|ATPB_ECOLI	-0.947	0.0
sp|P22186|MRAZ_ECOLI	1.12	3.97e-06
sp|P0AGA2|SECY_ECOLI	0.024	0.704
sp|P77581|ASTC_ECOLI	0.863	0.531
sp|P37188|PTKB_ECOLI	-0.071	9.809e-05
sp|P0A9S7|LIVG_ECOLI	-0.627	2.131e-05
sp|P13024|FDHE_ECOLI	0.288	0.012
sp|P69797|PTNAB_ECOLI	-0.481	3.88e-07
sp|P20083|PARE_ECOLI	0.169	0.084
sp|P0A903|BAMC_ECOLI	-0.094	0.486
sp|P28248|DCD_ECOLI	0.412	0.006
sp|P26646|ACUI_ECOLI	0.588	2.098e-09
sp|P18390|YJJA_ECOLI	-0.148	0.281
sp|P0A894|RAPZ_ECOLI	0.624	0.0004791
sp|P33221|PURT_ECOLI	0.108	0.715
sp|P21507|SRMB_ECOLI	0.151	0.192
sp|P37146|RIR4_ECOLI	1.395	1.133e-05
sp|P0AAR3|YBAK_ECOLI	1.415	2.128e-12
sp|P39451|ADHP_ECOLI	0.988	7.52e-05
sp|P63417|YHBS_ECOLI	0.549	0.005
sp|P23827|ECOT_ECOLI	0.142	0.422
sp|P00448|SODM_ECOLI	0.581	5.291e-12
sp|P0ABV6|TOLR_ECOLI	0.397	0.014
sp|P67603|YQFB_ECOLI	0.477	0.006
sp|P77173|ZIPA_ECOLI	0.238	0.099
sp|P0ABU0|MENB_ECOLI	0.466	0.0008137
sp|P0AAN5|YAIA_ECOLI	1.053	5.949e-06
sp|P0AG30|RHO_ECOLI	-0.344	0.0007599
sp|P0AEM9|FLIY_ECOLI	0.421	1.483e-13
sp|P75864|RLMKL_ECOLI	-0.041	0.757
sp|P32132|TYPA_ECOLI	-0.353	3.111e-09
sp|P13001|BIOH_ECOLI	-0.645	0.222
sp|P0AE12|AMN_ECOLI	0.701	2.776e-14
sp|P0A7S3|RS12_ECOLI	0.903	2.269e-09
sp|P0ADP2|YIGI_ECOLI	1.299	1.996e-13
sp|P0AEU7|SKP_ECOLI	1.448	0.0
sp|P0A7T7|RS18_ECOLI	-0.178	0.205
sp|P60340|TRUB_ECOLI	0.138	0.643
sp|P0AD33|YFCZ_ECOLI	0.802	0.0009429
sp|P16926|MREC_ECOLI	-0.896	3.491e-05
sp|P33195|GCSP_ECOLI	-0.303	0.0005641
sp|P0AGK4|YHBY_ECOLI	1.658	8.96e-07
sp|P10100|RLPA_ECOLI	0.486	1.696e-05
sp|P62617|ISPF_ECOLI	0.535	0.372
sp|P0ADZ7|YAJC_ECOLI	-0.246	0.093
sp|P52062|YGGW_ECOLI	1.16	0.022
sp|P56262|DLHH_ECOLI	0.549	0.007
sp|P42588|PAT_ECOLI	0.052	0.86
sp|P76176|YDGD_ECOLI	2.153	0.0005192
sp|P22524|MUKE_ECOLI	-0.462	0.012
sp|P39099|DEGQ_ECOLI	0.172	0.012
sp|P0A6B7|ISCS_ECOLI	-0.438	8.278e-13
sp|P0A6W5|GREA_ECOLI	0.252	0.036
sp|P0AFC7|NUOB_ECOLI	-0.199	0.03
sp|P13482|TREA_ECOLI	1.34	5.02e-12
sp|P0ACP7|PURR_ECOLI	-0.187	0.033
sp|P0AGB6|RPOE_ECOLI	0.311	0.017
sp|P61517|CAN_ECOLI	1.303	5.04e-14
sp|P02919|PBPB_ECOLI	0.851	8.329e-13
sp|P25397|TEHB_ECOLI	0.998	1.175e-09
sp|P0ABI8|CYOB_ECOLI	-0.07	0.524
sp|P21156|CYSD_ECOLI	-0.127	0.109
sp|P02413|RL15_ECOLI	-0.083	0.958
sp|P76170|YNFB_ECOLI	0.635	0.001
sp|P77748|YDIJ_ECOLI	-0.358	0.0002932
sp|P0AEE1|DCRB_ECOLI	0.264	0.0004564
sp|P0AC51|ZUR_ECOLI	0.173	0.575
sp|P37747|GLF_ECOLI	-0.289	0.011
sp|P37194|SLP_ECOLI	5.782	1.501e-13
sp|P33940|MQO_ECOLI	-1.159	6.548e-13
sp|P0A8N0|MATP_ECOLI	-0.144	0.442
sp|P64451|YDCL_ECOLI	0.82	1.235e-12
sp|P46837|YHGF_ECOLI	0.135	0.317
sp|P77667|SUFA_ECOLI	0.667	8.646e-05
sp|P75829|YBJX_ECOLI	0.863	0.002
sp|P0A8T1|PRMA_ECOLI	0.38	0.071
sp|P09373|PFLB_ECOLI	0.747	0.0
sp|P0A8M3|SYT_ECOLI	0.217	0.024
sp|P37903|USPF_ECOLI	-0.547	0.0006602
sp|P0A7V0|RS2_ECOLI	-0.421	0.004
sp|P00350|6PGD_ECOLI	-0.007	0.423
sp|P0ACC7|GLMU_ECOLI	-0.016	0.107
sp|P27837|YIFK_ECOLI	0.861	0.012
sp|Q47622|SAPA_ECOLI	0.695	0.008
sp|P77754|SPY_ECOLI	-1.194	9.285e-06
sp|P0AEZ3|MIND_ECOLI	0.249	7.47e-05
sp|P0ABZ4|KDSC_ECOLI	0.234	0.845
sp|P0A8J2|DNAT_ECOLI	-0.232	0.218
sp|P0ACA1|YIBF_ECOLI	0.07	0.573
sp|P0AFD6|NUOI_ECOLI	0.246	0.009
sp|P64467|CNU_ECOLI	1.09	3.703e-06
sp|P62768|YAEH_ECOLI	1.463	0.0
sp|P0AD68|FTSI_ECOLI	1.27	2.172e-07
sp|P25522|MNME_ECOLI	0.323	2.17e-05
sp|P0A905|SLYB_ECOLI	0.632	3.887e-05
sp|P0ADA3|NLPD_ECOLI	0.442	0.0008228
sp|P64564|YGGT_ECOLI	-0.545	0.025
sp|P0A9F3|CYSB_ECOLI	-0.562	3.902e-06
sp|P0ABH9|CLPA_ECOLI	0.212	0.0005803
sp|P0AE82|CPXA_ECOLI	0.128	0.494
sp|P0AFT2|YECS_ECOLI	-0.125	0.418
sp|P0A6F5|CH60_ECOLI	0.313	0.0001132
sp|P0AEY3|MAZG_ECOLI	0.25	0.471
sp|P0AAB8|USPD_ECOLI	2.032	3.216e-09
sp|P07003|POXB_ECOLI	1.703	0.0
sp|P0A9F9|METR_ECOLI	0.028	0.52
sp|P60546|KGUA_ECOLI	0.091	0.532
sp|P06966|DICA_ECOLI	0.475	0.057
sp|P0A9S5|GLDA_ECOLI	1.079	9.23e-07
sp|P0AC81|LGUL_ECOLI	0.075	0.829
sp|P0A8W5|YQGE_ECOLI	-0.078	0.167
sp|P04951|KDSB_ECOLI	-0.061	0.972
sp|P22523|MUKB_ECOLI	0.107	0.156
sp|P0A7I4|RF3_ECOLI	-0.602	2.951e-09
sp|P68688|GLRX1_ECOLI	0.468	0.289
sp|P0AB10|PQIC_ECOLI	0.326	0.136
sp|P09551|ARGT_ECOLI	-0.842	0.0
sp|P39310|YTFB_ECOLI	0.172	0.206
sp|P76034|YCIT_ECOLI	0.383	0.025
sp|P0ADA5|YAJG_ECOLI	-0.59	0.006
sp|P30014|RNT_ECOLI	-0.508	0.012
sp|P20966|PTFBC_ECOLI	0.23	0.046
sp|P0A6F3|GLPK_ECOLI	-0.113	0.407
sp|P24232|HMP_ECOLI	0.312	0.061
sp|P03018|UVRD_ECOLI	-0.036	0.65
sp|P15877|DHG_ECOLI	2.7	0.0
sp|P0A9E5|FNR_ECOLI	-1.321	1.086e-06
sp|P0A8N3|SYK1_ECOLI	-0.031	0.326
sp|P0AAG0|DPPD_ECOLI	-0.1	0.639
sp|P0AFU4|GLRR_ECOLI	-0.186	0.136
sp|P09323|PTW3C_ECOLI	-0.259	0.157
sp|P69853|DMSD_ECOLI	0.23	0.688
sp|P0AGJ7|TRML_ECOLI	0.332	0.15
sp|P36767|RDGC_ECOLI	-0.319	0.002
sp|P0AFP6|GCH1L_ECOLI	0.81	4.709e-08
sp|P0A9C9|GLPX_ECOLI	-0.397	0.002
sp|P29013|YCGB_ECOLI	1.541	2.32e-08
sp|P0C066|MLTC_ECOLI	0.607	0.002
sp|P0A729|NTPPB_ECOLI	0.844	3.435e-05
sp|P0A7L8|RL27_ECOLI	0.419	0.073
sp|P77293|GTRB_ECOLI	0.341	0.133
sp|P64540|YFCL_ECOLI	0.084	0.75
sp|P76194|SUFE_ECOLI	2.106	0.00023
sp|P00561|AK1H_ECOLI	-0.096	0.141
sp|P32173|MOBA_ECOLI	-0.308	0.579
sp|P0AAX8|YBIS_ECOLI	0.24	0.014
sp|P37759|RMLB1_ECOLI	-0.654	5.436e-12
sp|P25553|ALDA_ECOLI	-1.584	0.0
sp|P75959|NAGK_ECOLI	0.057	0.664
sp|P0ADS2|ZAPA_ECOLI	-0.077	0.794
sp|P21829|YBHA_ECOLI	0.043	0.549
sp|P76403|YEGQ_ECOLI	-0.311	0.002
sp|P18956|GGT_ECOLI	-0.758	9.853e-05
