protein	log2FC	p-val
sp|P0A6T1|G6PI_ECOLI	0.338	5.685e-06
sp|P0AB91|AROG_ECOLI	0.192	0.47
sp|P0A9W9|YRDA_ECOLI	0.042	0.828
sp|P0AA57|YOBA_ECOLI	-0.355	0.145
sp|P0AD59|IVY_ECOLI	0.233	0.327
sp|P0ABH9|CLPA_ECOLI	-0.408	5.943e-06
sp|P64612|ZAPE_ECOLI	0.233	0.18
sp|P13482|TREA_ECOLI	1.068	4.596e-14
sp|P0ACC7|GLMU_ECOLI	-0.09	0.319
sp|P77554|YAHJ_ECOLI	0.546	0.006
sp|P0ADR8|PPNN_ECOLI	-0.044	0.51
sp|P0AB89|PUR8_ECOLI	-0.242	0.0007374
sp|P06987|HIS7_ECOLI	0.016	0.68
sp|P66948|BEPA_ECOLI	0.556	0.0001919
sp|P69441|KAD_ECOLI	0.032	0.731
sp|P0ADZ7|YAJC_ECOLI	0.127	0.437
sp|P77522|SUFB_ECOLI	-0.256	0.054
sp|P0A8A8|RIMP_ECOLI	-0.119	0.613
sp|P0ABD3|BFR_ECOLI	1.192	0.0
sp|P76561|YPFH_ECOLI	0.501	0.12
sp|P0AGC3|SLT_ECOLI	0.557	4.164e-06
sp|P22333|ADD_ECOLI	1.106	1.526e-12
sp|P0ADZ0|RL23_ECOLI	-0.35	0.009
sp|P45464|LPOA_ECOLI	0.098	0.31
sp|P75915|YCDY_ECOLI	-0.136	0.368
sp|P0AEM4|FLGM_ECOLI	0.077	1.0
sp|P17993|UBIG_ECOLI	0.043	0.847
sp|P10408|SECA_ECOLI	-0.227	0.004
sp|P77243|PRPD_ECOLI	2.547	1.061e-11
sp|P76193|YNHG_ECOLI	0.826	6.131e-06
sp|P04816|LIVK_ECOLI	0.126	0.243
sp|P0A7V0|RS2_ECOLI	-0.2	0.002
sp|P0A6F5|CH60_ECOLI	-0.271	9.674e-10
sp|P27837|YIFK_ECOLI	-0.545	0.015
sp|P24186|FOLD_ECOLI	0.299	0.119
sp|P00946|MANA_ECOLI	-0.298	0.0006026
sp|P0A786|PYRB_ECOLI	0.499	8.76e-11
sp|P76537|YFEY_ECOLI	0.192	0.327
sp|P24228|DACB_ECOLI	0.064	0.973
sp|P13445|RPOS_ECOLI	1.175	1.286e-10
sp|P05793|ILVC_ECOLI	-0.477	0.0
sp|P02925|RBSB_ECOLI	0.468	7.399e-09
sp|P0A8B2|YFCN_ECOLI	-0.119	0.588
sp|P00957|SYA_ECOLI	-0.115	0.095
sp|P75960|NPD_ECOLI	0.244	0.129
sp|P77695|GNSB_ECOLI	0.299	0.109
sp|P16926|MREC_ECOLI	-0.254	0.263
sp|P0A715|KDSA_ECOLI	0.223	0.022
sp|P45577|PROQ_ECOLI	0.191	0.947
sp|P0A8B5|YBAB_ECOLI	-0.237	0.022
sp|P09169|OMPT_ECOLI	-0.008	0.896
sp|P0ABT2|DPS_ECOLI	-0.11	0.158
sp|P0C037|PPNP_ECOLI	-0.105	0.448
sp|P0ACF4|DBHB_ECOLI	0.01	0.815
sp|P0A6A3|ACKA_ECOLI	0.141	0.128
sp|P0A988|DPO3B_ECOLI	0.489	0.002
sp|P0A7U3|RS19_ECOLI	-0.116	0.335
sp|P0ABS1|DKSA_ECOLI	0.02	0.438
sp|P0AFY8|SEQA_ECOLI	0.007	0.954
sp|P75830|MACA_ECOLI	-0.308	0.283
sp|P75823|LTAE_ECOLI	0.412	0.002
sp|P06612|TOP1_ECOLI	0.13	0.081
sp|P0A7N4|RL32_ECOLI	-0.244	0.099
sp|P33363|BGLX_ECOLI	-0.402	5.876e-06
sp|P17117|NFSA_ECOLI	0.035	0.86
sp|P00934|THRC_ECOLI	-0.48	3.571e-11
sp|P22259|PCKA_ECOLI	0.347	0.003
sp|P0AE52|BCP_ECOLI	0.072	0.92
