protein	log2FC	p-val
sp|P21169|DCOR_ECOLI	0.331	0.02
sp|P76243|YEAO_ECOLI	-0.172	0.944
sp|P31119|AAS_ECOLI	-0.211	0.412
sp|P0A6Q3|FABA_ECOLI	0.114	0.789
sp|P37194|SLP_ECOLI	-0.805	0.0002938
sp|P0A715|KDSA_ECOLI	0.072	0.274
sp|P76541|EUTL_ECOLI	0.478	0.351
sp|P0A6D3|AROA_ECOLI	-0.343	0.0002604
sp|P0A8G0|UVRC_ECOLI	-0.055	0.884
sp|P77721|YDJF_ECOLI	0.208	0.085
sp|P0ADC3|LOLC_ECOLI	-0.2	0.225
sp|P36879|YADG_ECOLI	-0.124	0.134
sp|P0AEH3|ELAA_ECOLI	0.441	0.083
sp|P13857|RIML_ECOLI	0.175	0.49
sp|P00509|AAT_ECOLI	0.256	2.075e-05
sp|P0A7J3|RL10_ECOLI	-0.132	0.989
sp|P30850|RNB_ECOLI	-0.24	0.008
sp|P00888|AROF_ECOLI	0.038	0.684
sp|P68191|SRA_ECOLI	0.688	0.0006157
sp|P0AEA8|CYSG_ECOLI	0.025	0.63
sp|P07650|TYPH_ECOLI	-0.162	0.043
sp|P0ACI0|ROB_ECOLI	0.299	0.048
sp|P0A927|TSX_ECOLI	-0.249	0.054
sp|P0AAG3|GLTL_ECOLI	-0.31	0.247
sp|Q46851|GPR_ECOLI	0.66	2.95e-06
sp|P28861|FENR_ECOLI	0.181	0.09
sp|P24228|DACB_ECOLI	-0.098	0.762
sp|P77806|YBDL_ECOLI	-0.204	0.149
sp|P46852|YHHW_ECOLI	0.292	0.007
sp|P0AGB0|SERB_ECOLI	-0.123	0.336
sp|P0AA82|CODB_ECOLI	-0.409	0.097
sp|P75960|NPD_ECOLI	0.0009143	0.331
sp|P22523|MUKB_ECOLI	-0.416	2.808e-09
sp|P0AE48|YTFP_ECOLI	0.335	0.935
sp|P68919|RL25_ECOLI	0.181	0.037
sp|P0A744|MSRA_ECOLI	0.235	0.143
sp|P11557|DAMX_ECOLI	-0.212	0.0004959
sp|P0AGE9|SUCD_ECOLI	0.13	0.05
sp|P0AFP6|GCH1L_ECOLI	0.556	6.256e-07
sp|P0A953|FABB_ECOLI	0.245	0.0004846
sp|P0AFH2|OPPB_ECOLI	-0.683	0.001
sp|P11880|MURF_ECOLI	0.265	0.205
sp|P42593|FADH_ECOLI	0.662	6.987e-07
sp|P68206|YJBJ_ECOLI	0.188	0.861
sp|P0AEN1|FRE_ECOLI	0.097	0.411
sp|P02919|PBPB_ECOLI	-0.31	0.013
sp|P0ACE7|HINT_ECOLI	0.212	0.082
sp|P0ACA3|SSPA_ECOLI	-0.034	0.326
sp|P05194|AROD_ECOLI	-0.078	0.077
sp|P0A6E6|ATPE_ECOLI	0.155	0.281
sp|P0A9T6|YBAQ_ECOLI	0.567	0.054
sp|P09029|PURK_ECOLI	-0.137	0.364
sp|P0AC53|G6PD_ECOLI	-0.199	0.0006335
sp|P28306|MLTG_ECOLI	0.337	0.103
sp|P30126|LEUD_ECOLI	0.279	0.016
sp|P0ACG1|STPA_ECOLI	-0.379	0.005
sp|P0A6I3|COAA_ECOLI	0.109	0.346
sp|P75830|MACA_ECOLI	-0.202	0.154
sp|P46889|FTSK_ECOLI	-0.567	0.0002686
sp|P0AEG4|DSBA_ECOLI	0.1	0.207
sp|P0A9M2|HPRT_ECOLI	-0.19	0.178
sp|P23847|DPPA_ECOLI	0.526	0.0
sp|P0A809|RUVA_ECOLI	0.458	0.061
sp|P30748|MOAD_ECOLI	-0.005	0.763
sp|P0A9U3|YBIT_ECOLI	-0.227	0.058
sp|P75694|YAHO_ECOLI	1.232	4.162e-09
sp|P45578|LUXS_ECOLI	-0.364	0.025
sp|P0A8X0|YJGA_ECOLI	-0.107	0.393
sp|P27248|GCST_ECOLI	-0.014	0.431
sp|P0A862|TPX_ECOLI	-0.249	0.014
sp|P0ADZ4|RS15_ECOLI	-0.132	0.384
sp|P28248|DCD_ECOLI	0.647	0.0009787
sp|P18196|MINC_ECOLI	-0.117	0.334
