protein	log2FC	p-val
sp|P0A6D3|AROA_ECOLI	-0.082	0.138
sp|P0A881|TRPR_ECOLI	0.369	0.044
sp|P0DMC7|RCSB_ECOLI	0.069	0.34
sp|P52697|6PGL_ECOLI	0.765	1.467e-08
sp|P22524|MUKE_ECOLI	0.115	0.577
sp|P0A8A4|PSRP_ECOLI	-0.236	0.133
sp|P0A6T5|GCH1_ECOLI	-0.358	0.002
sp|P0A9Q5|ACCD_ECOLI	0.009	0.321
sp|P0AC62|GLRX3_ECOLI	0.315	0.511
sp|P69786|PTGCB_ECOLI	-0.111	0.259
sp|P39451|ADHP_ECOLI	1.017	1.945e-06
sp|P69776|LPP_ECOLI	0.218	0.008
sp|P0AGE6|CHRR_ECOLI	0.412	0.035
sp|P0A9T4|TAS_ECOLI	0.874	3.067e-07
sp|P16456|SELD_ECOLI	0.265	0.295
sp|P0ADK0|YIAF_ECOLI	0.066	0.613
sp|P31658|HCHA_ECOLI	1.46	4.026e-13
sp|P75691|YAHK_ECOLI	0.968	0.0
sp|P0AEI1|MIAB_ECOLI	-0.951	0.0
sp|P64540|YFCL_ECOLI	-0.575	0.0007023
sp|P08395|SPPA_ECOLI	0.165	0.479
sp|P0AFX9|RSEB_ECOLI	0.42	0.054
sp|P45395|KDSD_ECOLI	0.017	0.235
sp|P75797|GSIB_ECOLI	0.269	0.222
sp|P0AF20|NAGC_ECOLI	0.151	0.291
sp|P30863|DKGB_ECOLI	0.293	0.021
sp|P0A9M0|LON_ECOLI	-0.462	6.37e-12
sp|P04995|EX1_ECOLI	0.066	0.679
sp|P76034|YCIT_ECOLI	-0.094	0.393
sp|P0AF12|MTNN_ECOLI	-0.167	0.068
sp|P0A8A0|YEBC_ECOLI	-0.353	0.008
sp|P0A805|RRF_ECOLI	0.105	0.697
sp|P52647|NIFJ_ECOLI	-0.063	0.674
sp|P77148|YDHS_ECOLI	0.53	0.138
sp|P0A9Y6|CSPC_ECOLI	-0.334	0.032
sp|P0ADI7|YECD_ECOLI	0.353	0.058
sp|P0A7C6|PEPE_ECOLI	0.299	0.123
sp|P0A7A5|PIMT_ECOLI	0.059	0.879
sp|P0ACE7|HINT_ECOLI	0.391	0.002
sp|P0A7J0|RIBB_ECOLI	0.279	0.374
sp|P75957|LOLD_ECOLI	-0.207	0.05
sp|P31680|DJLA_ECOLI	0.033	0.288
sp|P0A9P4|TRXB_ECOLI	-0.356	0.485
sp|P45799|NUDE_ECOLI	-0.257	0.007
sp|P18133|PNCB_ECOLI	-0.081	0.931
sp|P17993|UBIG_ECOLI	0.529	4.553e-06
sp|P42593|FADH_ECOLI	0.459	0.0001497
sp|P37329|MODA_ECOLI	-0.305	0.003
sp|P0AGD1|SODC_ECOLI	1.428	9.131e-09
sp|P07395|SYFB_ECOLI	-0.245	0.001
sp|P0ABT2|DPS_ECOLI	1.536	0.0
sp|P0AFT5|BTSR_ECOLI	0.132	0.558
sp|P36879|YADG_ECOLI	-0.01	0.824
sp|P10902|NADB_ECOLI	-0.479	0.066
sp|P27242|WAAU_ECOLI	-0.408	0.15
sp|P0AAH0|PSTB_ECOLI	-0.013	0.918
sp|P0A6F3|GLPK_ECOLI	-0.013	0.623
sp|P18390|YJJA_ECOLI	0.077	0.993
sp|P0A9H5|BTUR_ECOLI	-0.035	0.714
sp|P25552|GPPA_ECOLI	0.161	0.593
sp|P0A8C4|YGFB_ECOLI	0.272	0.993
sp|P22333|ADD_ECOLI	-0.529	0.005
sp|P75863|YCBX_ECOLI	-0.292	0.225
sp|P00350|6PGD_ECOLI	-0.261	5.838e-05
sp|P69423|TATC_ECOLI	-0.566	0.015
sp|P0CE48|EFTU2_ECOLI	-0.102	0.026
sp|P43671|PQIB_ECOLI	0.047	0.275
sp|P0ACR9|MPRA_ECOLI	-0.613	8.108e-05
sp|P0A6D7|AROK_ECOLI	-0.063	0.733
sp|P0ACL5|GLCC_ECOLI	-0.266	0.355
sp|P69805|PTND_ECOLI	0.458	0.004
sp|P63284|CLPB_ECOLI	0.403	1.821e-14
sp|P77182|MNMC_ECOLI	-0.23	0.201
sp|P37685|ALDB_ECOLI	1.109	0.0
sp|P76536|YFEX_ECOLI	0.24	0.14
sp|P0A988|DPO3B_ECOLI	0.165	0.433
sp|P20099|BISC_ECOLI	-0.072	0.665
sp|P31663|PANC_ECOLI	0.573	4.705e-07
sp|P0AG00|WZZE_ECOLI	-0.4	0.114
sp|P0AB14|YCCJ_ECOLI	0.975	2.164e-05
sp|P77695|GNSB_ECOLI	0.082	0.215
sp|P30177|YBIB_ECOLI	1.281	2.021e-14
sp|P0AAC8|ISCA_ECOLI	-0.112	0.123
sp|P04391|OTC1_ECOLI	-0.642	1.929e-06
sp|P25535|UBII_ECOLI	-0.584	0.01
sp|P0AE48|YTFP_ECOLI	0.05	0.966
sp|P60560|GUAC_ECOLI	-0.482	0.0001334
sp|P0AD33|YFCZ_ECOLI	0.459	0.026
sp|P0AE12|AMN_ECOLI	0.16	0.137
sp|P08997|MASY_ECOLI	1.236	0.0
sp|P31433|YICH_ECOLI	0.381	0.012
sp|P0A917|OMPX_ECOLI	0.377	0.013
sp|P45464|LPOA_ECOLI	-0.086	0.048
sp|P37757|YDDE_ECOLI	-0.776	0.017
sp|P75864|RLMKL_ECOLI	-0.391	0.015
