protein	log2FC	p-val
sp|P0ABV6|TOLR_ECOLI	-0.315	0.401
sp|P36771|LRHA_ECOLI	1.039	0.0001315
sp|P0A6A8|ACP_ECOLI	0.19	0.445
sp|P0ADM4|YIDQ_ECOLI	1.378	1.388e-05
sp|P12995|BIOA_ECOLI	0.182	0.748
sp|P0AG82|PSTS_ECOLI	0.854	1.323e-13
sp|P0AB77|KBL_ECOLI	0.229	0.413
sp|P0AC47|FRDB_ECOLI	2.445	4.885e-08
sp|P37440|UCPA_ECOLI	1.706	9.966e-12
sp|P75957|LOLD_ECOLI	0.012	0.215
sp|P31475|YIEP_ECOLI	-0.241	0.101
sp|P65870|QUED_ECOLI	-0.243	0.352
sp|P0AFF6|NUSA_ECOLI	-0.188	0.002
sp|P09980|REP_ECOLI	0.809	0.0005028
sp|P0A717|KPRS_ECOLI	0.169	0.38
sp|P69831|PTKC_ECOLI	2.329	0.0
sp|P0AG16|PUR1_ECOLI	-0.322	0.0007434
sp|P76170|YNFB_ECOLI	0.327	0.172
sp|P37005|LAST_ECOLI	-0.121	0.512
sp|P06960|OTC2_ECOLI	-1.179	1.854e-05
sp|P60752|MSBA_ECOLI	0.718	1.896e-09
sp|P0A993|F16PA_ECOLI	0.421	0.004
sp|P0A6U5|RSMG_ECOLI	-0.076	0.188
sp|P0A935|MLTA_ECOLI	-0.386	0.174
sp|P10121|FTSY_ECOLI	-0.004	0.925
sp|P0A840|SURE_ECOLI	0.491	0.088
sp|P04949|FLIC_ECOLI	2.004	1.021e-06
sp|P0AC16|FOLB_ECOLI	-0.263	0.297
sp|P76145|TAM_ECOLI	0.095	0.65
sp|P0ABS8|HOLE_ECOLI	-0.33	0.135
sp|P0AFJ1|YJDM_ECOLI	0.728	0.053
sp|P02943|LAMB_ECOLI	3.245	0.0
sp|P77544|YFCF_ECOLI	-0.442	0.0007951
sp|P0ACA7|GSTB_ECOLI	0.17	0.708
sp|P22939|ISPA_ECOLI	-0.136	0.288
sp|P0A9P0|DLDH_ECOLI	0.326	0.0002441
sp|P06971|FHUA_ECOLI	-0.034	0.3
sp|P39285|MSCM_ECOLI	0.589	0.022
sp|P0AG27|YIBN_ECOLI	-0.068	0.514
sp|P11458|NADA_ECOLI	-0.167	0.041
sp|P05791|ILVD_ECOLI	-0.395	1.066e-07
sp|P05459|PDXB_ECOLI	-0.187	0.005
sp|P0A6F5|CH60_ECOLI	0.226	0.001
sp|P0AFH2|OPPB_ECOLI	1.222	4.729e-06
sp|P00956|SYI_ECOLI	-0.206	0.0006137
sp|P18392|RSTB_ECOLI	1.191	2.414e-05
sp|P10371|HIS4_ECOLI	-0.635	8.533e-07
sp|P24182|ACCC_ECOLI	-0.047	0.121
sp|P0AD33|YFCZ_ECOLI	1.094	3.366e-05
sp|P0AFM6|PSPA_ECOLI	-0.881	1.405e-12
sp|P46852|YHHW_ECOLI	0.198	0.19
sp|P0A870|TALB_ECOLI	0.198	0.023
sp|P04036|DAPB_ECOLI	-0.861	1.821e-12
sp|P0A6G7|CLPP_ECOLI	0.121	0.9
sp|P0AGB0|SERB_ECOLI	-0.074	0.645
sp|P0ABJ1|CYOA_ECOLI	-0.086	0.387
sp|P68688|GLRX1_ECOLI	1.345	6.826e-05
sp|P0C079|RELB_ECOLI	0.28	0.736
sp|P0AGD1|SODC_ECOLI	0.588	0.005
sp|P0A9J0|RNG_ECOLI	0.014	0.81
sp|P33940|MQO_ECOLI	-0.246	0.381
sp|P0AEM0|FKBX_ECOLI	0.009	0.876
sp|P0A8A4|PSRP_ECOLI	-0.24	0.013
sp|P31677|OTSA_ECOLI	1.001	3.85e-13
sp|P0A6X7|IHFA_ECOLI	0.33	0.015
sp|P04693|TYRB_ECOLI	0.044	0.484
sp|P0AFC3|NUOA_ECOLI	1.376	2.017e-06
sp|P29013|YCGB_ECOLI	0.8	0.002
sp|P0AE18|MAP1_ECOLI	-0.142	0.124
sp|P0A6K6|DEOB_ECOLI	0.515	5.104e-05
sp|P0AEQ1|GLCG_ECOLI	2.118	1.38e-06
sp|P0ABU5|ELBB_ECOLI	0.473	0.007
sp|P38521|YGGL_ECOLI	0.153	0.475
sp|P0A9P6|DEAD_ECOLI	-0.573	6.3e-08
sp|P36767|RDGC_ECOLI	-0.115	0.233
