protein	log2FC	p-val
sp|P45771|YRDD_ECOLI	0.964	0.012
sp|P0ABB0|ATPA_ECOLI	-0.248	3.825e-07
sp|P0AB83|END3_ECOLI	-0.257	0.205
sp|P13029|KATG_ECOLI	0.594	0.0
sp|P0A8T7|RPOC_ECOLI	-0.137	0.008
sp|P0AFB1|NLPI_ECOLI	-0.158	0.425
sp|P69831|PTKC_ECOLI	-1.156	2.133e-12
sp|P0ABB8|ATMA_ECOLI	0.063	0.444
sp|P0AAB4|UBID_ECOLI	0.299	0.006
sp|P0AE08|AHPC_ECOLI	0.211	0.012
sp|P68187|MALK_ECOLI	-0.05	0.958
sp|P77258|NEMA_ECOLI	-0.461	0.052
sp|P45577|PROQ_ECOLI	-0.502	0.0009034
sp|P0AGG4|THIO2_ECOLI	0.105	0.903
sp|P23917|MAK_ECOLI	0.216	0.097
sp|P0AAH0|PSTB_ECOLI	-0.48	0.041
sp|P0AEM9|FLIY_ECOLI	0.139	0.275
sp|P77689|SUFD_ECOLI	0.43	0.004
sp|P0A794|PDXJ_ECOLI	0.072	0.308
sp|P39831|YDFG_ECOLI	-0.206	0.284
sp|P0A8Y3|YIHX_ECOLI	0.425	0.029
sp|P21369|PNCA_ECOLI	0.803	0.021
sp|P0A7V0|RS2_ECOLI	-0.371	5.022e-05
sp|P0A9M2|HPRT_ECOLI	-0.103	0.396
sp|P46837|YHGF_ECOLI	-0.264	0.002
sp|P0A8W0|NANR_ECOLI	-0.265	0.203
sp|P0A858|TPIS_ECOLI	0.12	0.031
sp|P0AFD6|NUOI_ECOLI	-0.429	0.01
sp|P0AFX9|RSEB_ECOLI	0.904	0.0007203
sp|P14900|MURD_ECOLI	-0.382	0.456
sp|P31057|PANB_ECOLI	0.062	0.388
sp|P69783|PTGA_ECOLI	0.367	0.0001794
sp|P0A8U6|METJ_ECOLI	0.068	0.074
sp|P0C079|RELB_ECOLI	-0.024	1.0
sp|P60240|RAPA_ECOLI	-0.266	0.029
sp|P0AD05|YECA_ECOLI	0.056	0.198
sp|P0ADP9|YIHD_ECOLI	0.011	0.718
sp|P32157|YIIM_ECOLI	0.712	2.803e-05
sp|P76038|PUUD_ECOLI	-0.612	0.074
sp|P0AG30|RHO_ECOLI	-0.108	0.983
sp|P0A6D7|AROK_ECOLI	-0.588	2.817e-06
sp|P34209|YDCF_ECOLI	1.092	5.663e-08
sp|P02930|TOLC_ECOLI	0.325	5.233e-08
sp|P64554|QUEE_ECOLI	0.477	0.004
sp|P75713|ALLE_ECOLI	0.529	0.004
sp|P0A991|ALF1_ECOLI	0.285	7e-05
sp|P0A8R7|YCJF_ECOLI	0.262	0.192
