protein	log2FC	p-val
sp|P12994|YBHB_ECOLI	0.684	0.011
sp|P06710|DPO3X_ECOLI	0.643	5.995e-05
sp|P37760|RMLD_ECOLI	-0.418	5.95e-05
sp|P07650|TYPH_ECOLI	-0.254	0.098
sp|P76002|PLIG_ECOLI	0.203	0.046
sp|P0AAG8|MGLA_ECOLI	3.547	0.0
sp|P0ADZ7|YAJC_ECOLI	0.09	0.384
sp|P0AEJ6|EUTB_ECOLI	0.523	0.004
sp|P0A9P6|DEAD_ECOLI	-1.156	0.0
sp|P29131|FTSN_ECOLI	0.105	0.438
sp|P76550|YFFS_ECOLI	0.123	0.582
sp|P0A7A2|GPMB_ECOLI	0.095	0.532
sp|P0A6A8|ACP_ECOLI	-0.184	0.803
sp|P45470|YHBO_ECOLI	0.309	0.156
sp|P64483|YEAK_ECOLI	-0.075	0.274
sp|P0A6H1|CLPX_ECOLI	-0.054	0.435
sp|P0A6U5|RSMG_ECOLI	-0.45	0.013
sp|P0ADQ2|YIID_ECOLI	0.791	1.104e-08
sp|P0AAC0|USPE_ECOLI	0.428	0.0002798
sp|P05055|PNP_ECOLI	0.061	0.13
sp|P75792|SUPH_ECOLI	-0.683	9.127e-05
sp|P11071|ACEK_ECOLI	0.407	0.48
sp|P0AA43|RSUA_ECOLI	-0.3	0.001
sp|P77526|YFCG_ECOLI	-0.006	0.636
sp|P0A800|RPOZ_ECOLI	-0.172	0.076
sp|P77247|HXPB_ECOLI	0.172	0.143
sp|P0AEW6|INGK_ECOLI	-0.586	0.000137
sp|P0A6L2|DAPA_ECOLI	0.017	0.932
sp|P23003|TRMA_ECOLI	-0.679	6.785e-06
sp|P63224|GMHA_ECOLI	0.427	6.102e-07
sp|P0A6H8|CLSA_ECOLI	0.737	0.007
sp|P0A6T5|GCH1_ECOLI	-1.126	0.0
sp|P0ADV7|MLAC_ECOLI	-0.12	0.057
sp|P0A8N5|SYK2_ECOLI	0.337	0.009
sp|P0AGE9|SUCD_ECOLI	0.823	0.0
sp|P09127|HEMX_ECOLI	0.282	0.018
sp|P22939|ISPA_ECOLI	-0.064	0.619
sp|P0A6J5|DADA_ECOLI	1.792	2.62e-14
sp|P24177|ACRD_ECOLI	1.219	0.021
sp|P0AEK4|FABI_ECOLI	-0.098	0.173
sp|P22333|ADD_ECOLI	-0.164	0.207
sp|P0AFG0|NUSG_ECOLI	-0.248	0.003
sp|P0AAP3|FRMR_ECOLI	0.775	3.979e-05
sp|P0AE52|BCP_ECOLI	0.013	0.457
sp|P39172|ZNUA_ECOLI	-0.626	9.415e-07
sp|P77214|CUSF_ECOLI	0.487	8.297e-05
sp|P24251|CRL_ECOLI	-0.484	3.938e-06
sp|P0AAT9|YBEL_ECOLI	0.584	2.275e-05
sp|P0A7N4|RL32_ECOLI	-0.511	0.0001473
sp|P75820|AMID_ECOLI	0.647	0.036
sp|P15639|PUR9_ECOLI	-0.134	0.0006446
sp|P11454|ENTF_ECOLI	-0.263	0.094
sp|P0AFT2|YECS_ECOLI	-0.25	0.348
sp|P02413|RL15_ECOLI	-0.437	1.431e-05
sp|P0AGJ9|SYY_ECOLI	-0.516	2.251e-10
sp|P0AA53|QMCA_ECOLI	0.968	0.002
sp|P13857|RIML_ECOLI	0.142	0.669
sp|P21645|LPXD_ECOLI	-0.121	0.943
sp|P77754|SPY_ECOLI	0.828	3.178e-11
sp|P08395|SPPA_ECOLI	0.197	0.268
sp|P0A959|ALAA_ECOLI	0.621	1.358e-05
sp|P25746|HFLD_ECOLI	0.397	0.154
sp|P76170|YNFB_ECOLI	0.482	0.006
sp|P0ADA3|NLPD_ECOLI	0.323	0.004
sp|P0A7B1|PPK1_ECOLI	0.436	4.321e-06
sp|P66948|BEPA_ECOLI	0.319	0.008
sp|P0CB39|EPTC_ECOLI	-0.392	0.046
sp|P30958|MFD_ECOLI	0.273	0.003
sp|P76256|TSAB_ECOLI	-0.095	0.27
sp|P0A7C2|LEXA_ECOLI	0.316	0.0009749
sp|P75818|YBJP_ECOLI	0.592	0.0002445
sp|P0ADZ4|RS15_ECOLI	-0.126	0.494
sp|P0ACL0|GLPR_ECOLI	0.907	0.0003396
sp|P76055|TTCA_ECOLI	-0.205	0.273
sp|P06616|ERA_ECOLI	-0.398	0.108
sp|P75823|LTAE_ECOLI	0.411	0.0005967
sp|P69054|DHSC_ECOLI	0.764	3.021e-05
sp|P39321|TAMB_ECOLI	0.128	0.663
sp|P12295|UNG_ECOLI	-0.293	0.302
sp|P37749|WBBI_ECOLI	-0.226	0.102
sp|P24203|YJIA_ECOLI	1.381	0.0
sp|P27242|WAAU_ECOLI	0.789	0.004
sp|P0A720|KTHY_ECOLI	-0.227	0.067
sp|P0AF98|LPTF_ECOLI	0.303	0.089
sp|P0AG51|RL30_ECOLI	-0.342	0.016
sp|P0A7I7|RIBA_ECOLI	-0.521	0.0001921
sp|P63177|RLMB_ECOLI	-0.028	0.848
sp|P34209|YDCF_ECOLI	0.374	0.15
sp|P76350|SHIA_ECOLI	-0.757	0.111
sp|P0A9B2|G3P1_ECOLI	-0.221	5.11e-05
sp|P64604|MLAD_ECOLI	-0.475	2.965e-05
sp|P0AE67|CHEY_ECOLI	0.999	0.0002708
sp|P16703|CYSM_ECOLI	-0.468	1.555e-06
sp|P0A6R0|FABH_ECOLI	0.049	0.768
sp|P0AF20|NAGC_ECOLI	0.433	0.039
sp|P77611|RSXC_ECOLI	-0.331	0.12
sp|P0A6F9|CH10_ECOLI	0.252	0.249
sp|P0A8G6|NQOR_ECOLI	0.569	7.264e-09
sp|P30750|METN_ECOLI	0.089	0.73
sp|P0AFW4|RNK_ECOLI	1.202	1.023e-05
sp|P37146|RIR4_ECOLI	-0.445	0.362
sp|P24255|RP54_ECOLI	0.324	0.004
sp|P0A7A5|PIMT_ECOLI	0.225	0.252
sp|P0AEV1|RSSB_ECOLI	0.997	0.0001132
sp|P21151|FADA_ECOLI	1.534	0.0
sp|P77674|ABDH_ECOLI	4.672	0.0
sp|P0A6V8|GLK_ECOLI	1.119	1.332e-15
sp|P0AED0|USPA_ECOLI	0.372	0.001
sp|P05020|PYRC_ECOLI	-0.215	4.045e-06
sp|P77739|YNIA_ECOLI	0.825	2.62e-08
sp|P0AB58|LAPB_ECOLI	1.139	0.0001394
sp|P76402|YEGP_ECOLI	0.577	0.013
sp|P0AGJ7|TRML_ECOLI	-0.249	0.744
sp|P0C018|RL18_ECOLI	-0.416	8.862e-05
sp|P45955|CPOB_ECOLI	-0.253	0.0006058
sp|P0C079|RELB_ECOLI	0.449	0.052
sp|P0ABP8|DEOD_ECOLI	0.686	1.279e-08
sp|P76268|KDGR_ECOLI	0.392	2.152e-06
sp|P37051|PURU_ECOLI	-0.529	6.017e-06
sp|P0AFZ1|SSEB_ECOLI	-0.225	0.386
sp|P76046|YCJX_ECOLI	-0.119	0.813
sp|P0AD96|LIVJ_ECOLI	0.029	0.566
sp|P0AE85|CPXP_ECOLI	1.524	4.441e-16
sp|P0A7M9|RL31_ECOLI	0.352	0.738
sp|P0AD05|YECA_ECOLI	0.157	0.112
sp|P0A9J8|CMPDT_ECOLI	-0.137	0.107
sp|P0A6Z6|NIKR_ECOLI	-0.197	0.349
sp|P03004|DNAA_ECOLI	0.416	0.008
sp|P07913|TDH_ECOLI	0.511	0.05
sp|P60757|HIS1_ECOLI	-0.147	0.0002782
sp|P33018|SFGH2_ECOLI	1.239	1.465e-08
sp|P0A9T6|YBAQ_ECOLI	-0.181	0.173
sp|P0ACN4|ALLR_ECOLI	-0.223	0.047
sp|P36659|CBPA_ECOLI	0.29	0.105
sp|P0AGI8|TRKA_ECOLI	0.3	0.024
sp|P29012|ALR2_ECOLI	1.55	1.351e-10
sp|P12995|BIOA_ECOLI	-0.191	0.049
sp|P0AAG3|GLTL_ECOLI	0.098	0.652
sp|P0AFD6|NUOI_ECOLI	0.927	1.195e-11
sp|P0A9M5|XGPT_ECOLI	-0.287	0.005
sp|P0A6Y8|DNAK_ECOLI	-0.029	0.677
sp|P0AD68|FTSI_ECOLI	0.665	0.0002628
sp|P0AFD4|NUOH_ECOLI	0.54	0.003
sp|P37751|WBBK_ECOLI	0.456	0.001
sp|P0AEC5|BARA_ECOLI	0.615	0.003
sp|P0A855|TOLB_ECOLI	-0.26	0.019
sp|P0AFH2|OPPB_ECOLI	0.168	0.566
sp|P04983|RBSA_ECOLI	1.734	6.562e-07
sp|P0ACV8|YMJA_ECOLI	-0.394	0.068
sp|P0A9M0|LON_ECOLI	0.141	0.013
sp|P31663|PANC_ECOLI	0.125	0.787
sp|P0A9D8|DAPD_ECOLI	-0.471	1.131e-11
sp|P0ADP7|UBIJ_ECOLI	0.394	0.006
sp|P0AEQ3|GLNH_ECOLI	0.905	0.0
sp|P76112|MNAT_ECOLI	-0.122	1.0
sp|Q47622|SAPA_ECOLI	0.499	0.088
sp|P0A6B4|ALR1_ECOLI	0.378	0.117
sp|P0A887|UBIE_ECOLI	0.055	0.691
sp|P0ABZ6|SURA_ECOLI	-0.162	0.004
sp|P13000|BIOD1_ECOLI	-0.963	1.006e-09
sp|P0A998|FTNA_ECOLI	-0.889	4.882e-11
sp|P0A9W6|IBAG_ECOLI	-0.512	0.019
sp|P0ABT5|DUSB_ECOLI	-0.29	0.202
sp|P12281|MOEA_ECOLI	0.19	0.074
sp|P78061|PUUA_ECOLI	-0.574	0.004
sp|P0A8W0|NANR_ECOLI	0.288	0.085
sp|P25535|UBII_ECOLI	0.165	0.44
sp|P25552|GPPA_ECOLI	0.283	0.233
sp|P68066|GRCA_ECOLI	1.469	0.0
sp|P0ACQ4|OXYR_ECOLI	0.052	0.516
sp|P69441|KAD_ECOLI	-0.444	4.431e-09
sp|P0A870|TALB_ECOLI	0.235	0.0003881
sp|P0A8R4|SLYX_ECOLI	-0.211	0.267
sp|P0A9Z1|GLNB_ECOLI	0.367	0.301
sp|P0AC86|PHSG_ECOLI	0.958	7.558e-13
sp|P32664|NUDC_ECOLI	0.203	0.078
sp|P0AF90|RRAB_ECOLI	0.099	0.276
sp|P08956|T1RK_ECOLI	0.896	0.0001679
sp|P0A9X4|MREB_ECOLI	0.143	0.539
sp|P23865|PRC_ECOLI	0.256	0.0001388
sp|P37613|PANZ_ECOLI	0.476	0.021
