protein	log2FC	p-val
sp|P08244|PYRF_ECOLI	-0.235	0.104
sp|P0A9S3|GATD_ECOLI	0.965	3.227e-08
sp|P0AAC4|YBHL_ECOLI	-0.946	0.0001626
sp|P0ABV6|TOLR_ECOLI	-0.84	0.009
sp|P24252|YBGA_ECOLI	0.521	0.099
sp|P00936|CYAA_ECOLI	-0.378	0.215
sp|P0ABK5|CYSK_ECOLI	0.364	2.635e-05
sp|P02919|PBPB_ECOLI	0.014	0.919
sp|P77243|PRPD_ECOLI	-1.273	2.317e-09
sp|P0A9S7|LIVG_ECOLI	-1.051	6.206e-12
sp|P69908|DCEA_ECOLI	1.955	0.0
sp|P39325|YTFQ_ECOLI	0.525	0.0002097
sp|P0AFB5|NTRB_ECOLI	-0.155	0.738
sp|P21151|FADA_ECOLI	0.49	4.752e-05
sp|P62620|ISPG_ECOLI	0.068	0.744
sp|P68206|YJBJ_ECOLI	-0.808	0.002
sp|P00935|METB_ECOLI	0.986	1.221e-10
sp|P0AAN5|YAIA_ECOLI	-0.683	0.009
sp|P0ABY4|FLAW_ECOLI	-0.212	0.531
sp|P11447|ARLY_ECOLI	-0.046	0.531
sp|P0A7M2|RL28_ECOLI	-0.184	0.085
sp|P77279|FETA_ECOLI	0.168	0.41
sp|P21156|CYSD_ECOLI	-0.042	0.59
sp|P03018|UVRD_ECOLI	0.136	0.838
sp|P25738|MSYB_ECOLI	0.593	0.0007444
sp|P31130|YDEI_ECOLI	-0.033	0.792
sp|P67080|PLPHP_ECOLI	-0.28	0.049
sp|P64429|YPFJ_ECOLI	-0.068	0.47
sp|P0A7Z4|RPOA_ECOLI	0.249	0.017
sp|P45771|YRDD_ECOLI	-0.108	0.463
sp|P22186|MRAZ_ECOLI	0.678	0.01
sp|P0A6H5|HSLU_ECOLI	-0.101	0.144
sp|P15639|PUR9_ECOLI	-0.396	2.852e-07
sp|P15082|SRLR_ECOLI	0.953	2.844e-05
sp|P21513|RNE_ECOLI	-0.315	1.584e-07
sp|P0A887|UBIE_ECOLI	-0.01	0.668
sp|P37757|YDDE_ECOLI	-0.466	0.074
sp|P0AES6|GYRB_ECOLI	-0.152	0.006
sp|P0AB80|ILVE_ECOLI	-0.275	0.056
sp|P0A917|OMPX_ECOLI	0.154	0.061
sp|P77395|CNOX_ECOLI	0.153	0.286
sp|P27302|TKT1_ECOLI	0.164	0.342
sp|P39176|ERFK_ECOLI	0.426	0.018
sp|P75931|YCEM_ECOLI	0.662	0.02
sp|P0C0V0|DEGP_ECOLI	0.621	3.911e-10
sp|P0AAT6|IOJAP_ECOLI	-1.101	0.0001985
sp|P0A7V8|RS4_ECOLI	-0.206	0.005
sp|P0AFC3|NUOA_ECOLI	-0.815	0.002
sp|P0AF20|NAGC_ECOLI	0.081	0.446
sp|P0AFH8|OSMY_ECOLI	-0.026	0.881
sp|P0A8L1|SYS_ECOLI	0.55	3.291e-10
sp|P09551|ARGT_ECOLI	0.305	0.0003276
sp|P0AF67|TSAE_ECOLI	0.145	0.385
sp|P0ADP2|YIGI_ECOLI	-0.145	0.397
