protein	log2FC	p-val
sp|P32099|LPLA_ECOLI	-0.409	0.017
sp|P0AEB7|YOAB_ECOLI	0.268	0.316
sp|P11458|NADA_ECOLI	-0.073	0.483
sp|P0AAP3|FRMR_ECOLI	0.106	0.46
sp|P0A9K3|PHOL_ECOLI	0.373	0.005
sp|P0ADZ4|RS15_ECOLI	0.165	0.476
sp|P69801|PTNC_ECOLI	0.948	0.003
sp|P09551|ARGT_ECOLI	0.094	0.769
sp|P0A7L0|RL1_ECOLI	-0.022	0.501
sp|P12994|YBHB_ECOLI	-0.027	1.0
sp|P0A9G6|ACEA_ECOLI	1.854	0.0
sp|P07014|SDHB_ECOLI	0.712	1.415e-11
sp|P60595|HIS5_ECOLI	-0.919	1.693e-07
sp|P37760|RMLD_ECOLI	0.422	0.002
sp|P40191|PDXK_ECOLI	0.564	0.015
sp|P46837|YHGF_ECOLI	-0.537	2.693e-10
sp|P0A8U0|SYDP_ECOLI	-0.047	0.511
sp|P69451|LCFA_ECOLI	0.245	0.089
sp|P0A6R0|FABH_ECOLI	0.394	0.003
sp|P0A794|PDXJ_ECOLI	0.134	0.863
sp|P00895|TRPE_ECOLI	-0.497	4.092e-07
sp|P00393|DHNA_ECOLI	-1.087	0.0
sp|P0AFI7|PDXH_ECOLI	0.162	0.348
sp|P75849|GLO22_ECOLI	0.012	0.837
sp|P0AAZ4|RARA_ECOLI	1.017	0.005
sp|P46852|YHHW_ECOLI	0.044	0.9
sp|P21513|RNE_ECOLI	0.068	0.601
sp|P37051|PURU_ECOLI	0.526	0.0009687
sp|P0AFF6|NUSA_ECOLI	0.0008314	0.911
sp|P09151|LEU1_ECOLI	1.411	0.0
sp|P45464|LPOA_ECOLI	-0.471	1.288e-08
sp|P0A7U7|RS20_ECOLI	0.15	0.404
sp|P63224|GMHA_ECOLI	-0.158	0.039
sp|P09158|SPEE_ECOLI	-0.294	0.043
sp|P0A7J3|RL10_ECOLI	-0.127	0.122
