protein	log2FC	p-val
P0ADQ1	0.274	0.325
P04951	-0.085	0.522
B7LNT5	0.375	0.37
P13029	0.11	0.276
P16700	0.138	0.275
Q8XA47	-0.266	0.73
P0A6H6	-0.115	0.287
P35272	0.194	0.847
P0AD22	-0.475	0.253
Q8X926	0.227	0.176
Q0TC28	0.168	0.831
P0AF22	0.002	0.407
Q46857	4.287	1.775e-06
P00452	-0.059	0.374
P0A9W7	-0.016	1.0
P0AGG6	1.791	2.184e-06
P0A8Y3	-0.127	0.637
P23878	0.333	0.168
P24230	-0.303	0.474
P77804	0.26	0.056
Q8FBT3	-0.103	0.342
Q8XCX2	-0.322	0.0003384
B7LPQ9	-0.024	0.694
P0AEM4	-1.24	0.001
P77202	0.059	1.0
B6I5M1	-0.467	0.003
P77285	-0.155	0.596
B7LW77	-0.264	0.069
P0ACB2	-0.442	0.004
P0AFF8	0.191	0.146
P09323	1.022	0.007
P0A877	0.512	6.041e-06
P0AG82	0.563	0.003
Q8XDS0	2.696	1.703e-13
P0AA27	0.349	0.018
P31979	-0.166	0.031
B1J0L4	0.066	0.952
P0A851	0.161	0.192
Q8FBM1	-0.078	0.025
P0A8Y6	-0.162	0.231
P00961	-0.137	0.042
P0AG69	-0.2	0.002
P36938	0.442	7.925e-05
P0ABY6	0.354	0.237
P28631	0.072	0.962
P36879	-0.212	0.37
P75874	1.556	1.383e-06
P76575	-0.39	0.286
B7NMJ5	1.581	2.131e-05
P39160	-0.255	0.646
B7LVK1	0.589	0.013
P0ABH8	0.642	4.392e-08
P52119	0.216	0.723
P77150	-0.339	0.133
P0ACM3	-0.625	0.01
P0ABF3	-1.003	8.968e-08
P08997	3.557	0.0
P00363	1.207	0.004
Q59385	0.979	4.523e-10
Q0TD60	0.162	0.671
B7LQD9	-0.471	0.218
B7LKG5	0.029	0.773
P0AB78	-0.023	0.968
Q8FJB1	-0.02	0.798
P0ACP8	-0.296	0.09
Q8XDE7	0.092	0.398
P0A9I3	-0.324	0.153
P0AEC7	-0.176	0.685
P0A9Q8	0.433	4.541e-06
P31433	0.703	0.003
P12758	0.533	0.011
Q8FL00	0.967	0.027
P08142	-0.106	0.335
P07024	0.805	8.934e-08
P31455	0.281	0.46
P76423	-0.247	0.466
B7LPT2	0.567	0.002
P0ABV8	-0.379	0.245
P0AFL5	0.333	0.071
P24205	0.027	0.509
P0A9L3	-0.033	0.948
Q1R633	-0.584	2.685e-05
P75830	0.318	0.35
P0ADG0	-0.722	0.21
P77774	-0.086	0.584
B7LUW7	-0.31	0.256
B7LUR5	0.848	0.003
P45748	0.27	0.38
B7LUZ5	-0.393	0.003
P75797	0.93	0.016
P0AEB8	-0.194	0.584
Q1REI5	0.499	0.008
P08331	0.388	0.029
P0ACK0	-0.19	0.698
P25888	-0.201	0.293
B7LMI1	-0.193	0.511
P63624	-0.021	0.895
B7LSM7	0.116	0.6
P17315	3.131	0.0
Q0TKG8	0.073	0.496
Q8FAG5	2.224	0.0
P0AEP5	0.428	0.004
P0ACB6	-0.269	0.32
P0AB10	0.766	0.008
B7LPE7	-0.161	0.485
B1IVI7	-0.517	0.072
P07395	-0.201	0.033
P10408	-0.051	0.583
P0A6G4	-0.172	0.64
P0A9T4	0.077	0.691
P0ADZ9	-0.149	0.428
Q8FKM7	-0.551	0.175
Q0TIU8	-0.338	0.055
P0AE54	0.228	0.464
B7M5R7	0.354	0.044
P24554	-0.129	0.748
P76004	1.385	8.57e-08
