protein	log2FC	p-val
sp|P0AFG0|NUSG_ECOLI	0.12	0.61
sp|P18133|PNCB_ECOLI	-0.398	9.465e-07
sp|P0A6D3|AROA_ECOLI	-0.852	3.638e-12
sp|P68191|SRA_ECOLI	0.492	0.339
sp|P0ACP5|GNTR_ECOLI	0.534	0.003
sp|P0A8D3|YAII_ECOLI	-0.411	0.651
sp|P0AAC0|USPE_ECOLI	0.731	4.085e-08
sp|P31475|YIEP_ECOLI	-0.095	0.401
sp|P0ABI4|CORA_ECOLI	0.297	0.291
sp|Q46948|YAJL_ECOLI	0.01	0.627
sp|P07604|TYRR_ECOLI	-0.127	0.03
sp|P0ADE6|KBP_ECOLI	1.526	0.0
sp|P0A722|LPXA_ECOLI	-0.096	0.076
sp|P08192|FOLC_ECOLI	0.435	0.0007088
sp|P00909|TRPC_ECOLI	0.101	0.817
sp|P22188|MURE_ECOLI	0.467	0.0001285
sp|P0AC81|LGUL_ECOLI	0.223	0.115
sp|P39451|ADHP_ECOLI	0.977	0.001
sp|P0A6R3|FIS_ECOLI	-0.771	0.016
sp|P37648|YHJJ_ECOLI	0.254	0.097
sp|P28249|ASMA_ECOLI	0.258	0.008
sp|P0A8T1|PRMA_ECOLI	0.356	0.027
sp|P45523|FKBA_ECOLI	0.206	0.005
sp|P0A959|ALAA_ECOLI	0.35	0.019
sp|P0ACP7|PURR_ECOLI	0.041	0.408
sp|P76402|YEGP_ECOLI	1.549	1.86e-06
sp|P00550|PTM3C_ECOLI	0.532	3.398e-06
sp|P28861|FENR_ECOLI	-0.022	0.778
sp|P18956|GGT_ECOLI	0.649	4.904e-06
sp|P0AG90|SECD_ECOLI	-0.062	0.77
sp|P13000|BIOD1_ECOLI	-0.033	0.888
sp|P0ACA7|GSTB_ECOLI	0.73	2.452e-07
sp|P09148|GAL7_ECOLI	0.278	0.33
sp|P0AFB8|NTRC_ECOLI	-0.069	0.256
sp|Q46845|YGHU_ECOLI	0.83	5.648e-12
sp|P0ABT2|DPS_ECOLI	3.451	0.0
sp|P37759|RMLB1_ECOLI	0.166	0.039
sp|P02924|ARAF_ECOLI	0.235	0.186
sp|P33602|NUOG_ECOLI	0.658	0.0
sp|P06959|ODP2_ECOLI	-1.208	0.0
sp|P0AG80|UGPB_ECOLI	1.521	3.813e-11
sp|P0ABE2|BOLA_ECOLI	-0.171	0.344
sp|P69490|CCME_ECOLI	0.14	0.453
sp|P32053|INTA_ECOLI	-0.182	0.19
sp|P0AEI6|NUDJ_ECOLI	-0.31	0.025
sp|P06709|BIRA_ECOLI	2.407	3.975e-06
sp|Q47147|YAFJ_ECOLI	0.233	0.047
sp|P31658|HCHA_ECOLI	2.471	9.361e-09
sp|P0AC33|FUMA_ECOLI	1.787	0.0
sp|P0A993|F16PA_ECOLI	1.039	0.0
sp|P08331|CPDB_ECOLI	1.427	0.0
sp|P00562|AK2H_ECOLI	-0.09	0.39
sp|P30750|METN_ECOLI	-0.443	0.0006728
sp|P0A759|NAGB_ECOLI	0.566	0.000144
sp|P0AFP4|YBBO_ECOLI	-0.689	0.003
sp|P76014|DHAL_ECOLI	-0.287	0.234
sp|P0ABV2|EXBD_ECOLI	-1.058	2.701e-10
sp|P43671|PQIB_ECOLI	0.242	0.26
sp|P0A8Y5|YIDA_ECOLI	-0.79	1.634e-09
sp|P13009|METH_ECOLI	-0.374	8.126e-10
sp|P0A6J8|DDLA_ECOLI	-0.987	7.291e-12
sp|P32695|DUSA_ECOLI	-0.04	0.16
sp|P00888|AROF_ECOLI	2.603	0.0
sp|P09996|YIDB_ECOLI	0.62	0.003
sp|P76004|YCGM_ECOLI	0.537	0.23
sp|P0A6C1|END4_ECOLI	-0.305	0.016
sp|P37177|PT1P_ECOLI	-0.19	0.145
sp|P0AFB1|NLPI_ECOLI	0.382	0.035
sp|P0AEX5|KPPR_ECOLI	0.457	0.006
sp|P0A858|TPIS_ECOLI	0.291	0.02
sp|P00861|DCDA_ECOLI	-0.563	0.002
sp|P0ABD3|BFR_ECOLI	2.655	0.0
sp|P0ABJ1|CYOA_ECOLI	0.75	7.981e-08
sp|P69874|POTA_ECOLI	-0.34	0.28
sp|P0AG48|RL21_ECOLI	-0.269	0.001
sp|Q93K97|ADPP_ECOLI	0.159	0.443
sp|P0ACR9|MPRA_ECOLI	-0.702	1.412e-05
sp|P0A6G3|PNCC_ECOLI	0.324	0.255
sp|P0A6B4|ALR1_ECOLI	0.146	0.173
sp|P05791|ILVD_ECOLI	-1.332	0.0
sp|P0A9G8|MODE_ECOLI	0.238	0.73
sp|P23930|LNT_ECOLI	0.238	0.294
sp|P0A8R0|RRAA_ECOLI	0.125	0.512
sp|P0AB38|LPOB_ECOLI	0.441	0.02
sp|P0ADK0|YIAF_ECOLI	0.155	0.038
sp|P60664|HIS6_ECOLI	-0.558	0.0001227
sp|P25526|GABD_ECOLI	1.329	0.0
sp|P0ACB2|HEM2_ECOLI	0.061	0.894
sp|P68767|AMPA_ECOLI	-0.243	0.028
sp|P08142|ILVB_ECOLI	0.538	6.342e-07
sp|P77806|YBDL_ECOLI	0.04	0.147
sp|P37757|YDDE_ECOLI	-0.635	0.0005555
sp|P25519|HFLX_ECOLI	-0.07	0.68
sp|P06968|DUT_ECOLI	-0.405	0.017
sp|P15373|PRLF_ECOLI	-0.342	0.089
sp|P06987|HIS7_ECOLI	-0.466	1.203e-05
sp|P0A6Q6|FABZ_ECOLI	-0.106	0.939
sp|P77150|PDXY_ECOLI	-0.687	0.003
sp|P0A9Z1|GLNB_ECOLI	-0.015	0.928
sp|P77434|ALAC_ECOLI	0.348	0.032
sp|P0AF24|NAGD_ECOLI	0.058	0.223
sp|P0ACF0|DBHA_ECOLI	-0.301	0.011
sp|P0AAR3|YBAK_ECOLI	-0.253	0.407
sp|P0A9P0|DLDH_ECOLI	-0.124	0.065
sp|P0A6E4|ASSY_ECOLI	-0.436	1.32e-08
sp|P77285|RSXG_ECOLI	0.056	0.19
sp|P77735|YAJO_ECOLI	1.293	0.0
sp|P04994|EX7L_ECOLI	0.216	0.417
sp|P22564|RIHC_ECOLI	2.128	4.821e-09
sp|P04391|OTC1_ECOLI	-0.423	2.595e-05
sp|P0C0L2|OSMC_ECOLI	0.857	5.115e-08
sp|P26612|AMY2_ECOLI	0.174	0.311
sp|P24232|HMP_ECOLI	-1.144	8.881e-08
sp|P0A6F3|GLPK_ECOLI	1.784	0.0
sp|P0A9I3|GCVR_ECOLI	0.244	0.24
sp|P0ABC7|HFLK_ECOLI	0.16	0.26
sp|P39452|RIR3_ECOLI	-1.56	3.812e-11
sp|P0A962|ASPG1_ECOLI	-0.271	0.023
sp|P0A7I4|RF3_ECOLI	0.16	0.182
sp|P0A7M9|RL31_ECOLI	-0.359	0.019
sp|P39315|QOR2_ECOLI	0.778	0.0005506
sp|P0ABQ4|DYR_ECOLI	0.506	0.046
sp|P0A9R4|FER_ECOLI	0.614	0.0001322
sp|P76112|MNAT_ECOLI	0.037	0.81
sp|P04982|RBSD_ECOLI	2.46	0.0
sp|P31133|POTF_ECOLI	0.674	3.747e-07
sp|P0A879|TRPB_ECOLI	0.027	0.841
sp|P06129|BTUB_ECOLI	0.127	0.514
sp|P77348|MPPA_ECOLI	1.166	5.684e-10
sp|P75791|YBIU_ECOLI	-0.325	0.118
sp|P0AD33|YFCZ_ECOLI	0.757	0.008
