protein	log2FC	p-val
sp|P0A6R0|FABH_ECOLI	0.718	1.684e-06
sp|P37665|YIAD_ECOLI	-0.561	0.0007109
sp|P07604|TYRR_ECOLI	0.15	0.294
sp|P0A9W3|ETTA_ECOLI	0.314	1.047e-06
sp|P04968|ILVA_ECOLI	-0.925	6.062e-14
sp|P16869|FHUE_ECOLI	-2.438	3.654e-08
sp|P05055|PNP_ECOLI	0.162	0.016
sp|P76342|MSRP_ECOLI	1.254	1.911e-05
sp|P0A910|OMPA_ECOLI	-0.116	0.02
sp|P40120|OPGD_ECOLI	0.31	0.028
sp|P0A812|RUVB_ECOLI	0.12	0.435
sp|P61889|MDH_ECOLI	0.229	0.078
sp|P0AEH5|ELAB_ECOLI	1.054	1.009e-06
sp|P76507|YFDI_ECOLI	0.638	0.019
sp|P29018|CYDD_ECOLI	-0.736	0.004
sp|P15288|PEPD_ECOLI	0.102	0.965
sp|P0A7C2|LEXA_ECOLI	0.392	8.658e-05
sp|P37666|GHRB_ECOLI	-0.671	2.175e-10
sp|P33219|YEBF_ECOLI	1.436	8.882e-16
sp|P0A6P7|ENGB_ECOLI	0.35	0.003
sp|P0A912|PAL_ECOLI	-0.363	0.0001911
sp|P0A784|ORN_ECOLI	-0.231	0.167
sp|P0A9C3|GALM_ECOLI	0.124	0.135
sp|P00894|ILVH_ECOLI	-0.567	3.901e-10
sp|P26646|ACUI_ECOLI	0.764	2.189e-12
sp|P0AAB6|GALF_ECOLI	0.337	6.015e-05
sp|P0A9S7|LIVG_ECOLI	0.724	2.653e-05
sp|P0ABS1|DKSA_ECOLI	0.237	0.04
sp|P37613|PANZ_ECOLI	0.035	0.926
sp|P11880|MURF_ECOLI	-0.249	0.104
sp|P0A6U3|MNMG_ECOLI	0.044	0.981
sp|P69853|DMSD_ECOLI	-0.575	0.0001062
sp|P0A6J5|DADA_ECOLI	-1.278	0.0
sp|P09424|MTLD_ECOLI	0.703	2.515e-07
sp|P27829|WECC_ECOLI	0.455	0.027
sp|P0A7S3|RS12_ECOLI	-0.54	1.343e-05
sp|P0AEX3|KGTP_ECOLI	0.038	0.629
sp|P77570|ANMK_ECOLI	0.463	0.041
sp|P0A953|FABB_ECOLI	0.419	3.822e-06
sp|P24255|RP54_ECOLI	0.303	0.056
sp|P0ABS5|DNAG_ECOLI	0.063	0.793
sp|P0A738|MOAC_ECOLI	-0.293	0.96
sp|P0AAR3|YBAK_ECOLI	-0.95	1.793e-08
sp|P37757|YDDE_ECOLI	-0.383	0.045
sp|P0ADN2|YIFE_ECOLI	-0.163	0.142
sp|P0AB26|YCEB_ECOLI	-0.3	0.15
sp|P10100|RLPA_ECOLI	-0.246	0.05
sp|P06993|MALT_ECOLI	0.333	0.365
sp|P04951|KDSB_ECOLI	0.127	0.374
sp|P0ACC7|GLMU_ECOLI	-0.329	0.017
sp|P0ADS6|YGGE_ECOLI	-0.142	0.278
sp|P02924|ARAF_ECOLI	0.524	0.004
sp|P77737|OPPF_ECOLI	-0.011	0.806
sp|P0ADA3|NLPD_ECOLI	0.14	0.258
sp|P0A7L0|RL1_ECOLI	0.029	0.687
sp|P0A7E5|PYRG_ECOLI	0.208	0.003
sp|P36548|AMIA_ECOLI	0.002	0.946
sp|P37051|PURU_ECOLI	-0.454	2.971e-05
sp|P0A6C1|END4_ECOLI	-0.395	0.002
sp|P41409|RIHA_ECOLI	0.902	4.458e-07
sp|P0AFU4|GLRR_ECOLI	-0.228	1.0
sp|P76346|MTFA_ECOLI	1.152	4.333e-05
sp|P69786|PTGCB_ECOLI	-0.79	4.987e-11
sp|P76256|TSAB_ECOLI	-0.061	0.911
sp|P26616|MAO1_ECOLI	0.429	1.249e-06
sp|P22186|MRAZ_ECOLI	-0.164	0.46
sp|P0A6L4|NANA_ECOLI	1.484	3.707e-08
sp|P0C037|PPNP_ECOLI	-0.102	0.457
sp|P0A7R9|RS11_ECOLI	0.013	0.602
sp|P23843|OPPA_ECOLI	-0.619	4.441e-16
sp|P69411|RCSF_ECOLI	-0.199	0.358
sp|P0A853|TNAA_ECOLI	3.455	0.0
sp|P0AD57|ISPB_ECOLI	0.186	0.425
sp|P0A8M0|SYN_ECOLI	0.008	0.729
sp|P0ACL9|PDHR_ECOLI	-0.517	0.013
