protein	log2FC	p-val
sp|P39377|IADA_ECOLI	0.046	0.638
sp|P15254|PUR4_ECOLI	-0.369	0.0
sp|P45748|TSAC_ECOLI	0.552	0.0002688
sp|P0ADB1|OSME_ECOLI	0.463	0.002
sp|P0A738|MOAC_ECOLI	0.031	0.89
sp|P32132|TYPA_ECOLI	-0.561	8.882e-16
sp|P37661|EPTB_ECOLI	-0.491	0.037
sp|P0AFD1|NUOE_ECOLI	-0.365	0.015
sp|P23839|YICC_ECOLI	-0.091	0.343
sp|P0A7V3|RS3_ECOLI	-0.211	0.055
sp|P39411|NCPP_ECOLI	-0.312	0.16
sp|P64463|YDFZ_ECOLI	0.564	0.012
sp|P0A6H1|CLPX_ECOLI	-0.427	1.833e-09
sp|P23908|ARGE_ECOLI	-0.208	0.035
sp|P17117|NFSA_ECOLI	-0.32	0.004
sp|P43329|HRPA_ECOLI	0.087	0.395
sp|P25553|ALDA_ECOLI	0.463	0.0
sp|P60785|LEPA_ECOLI	-0.439	2.82e-07
sp|P02918|PBPA_ECOLI	-0.476	0.019
sp|P0ADA5|YAJG_ECOLI	-0.429	0.0005967
sp|P0A9R7|FTSE_ECOLI	-0.198	0.22
sp|P76550|YFFS_ECOLI	0.675	2.17e-05
sp|P75818|YBJP_ECOLI	0.412	0.038
sp|P0A749|MURA_ECOLI	-0.538	5.17e-08
sp|P0A7T7|RS18_ECOLI	-0.274	0.048
sp|P0ADX7|YHHA_ECOLI	-0.019	0.848
sp|P0A742|MSCL_ECOLI	0.245	0.062
sp|P00363|FRDA_ECOLI	0.895	2.22e-15
sp|P0AGJ7|TRML_ECOLI	0.188	1.0
sp|P0A8J2|DNAT_ECOLI	0.576	0.297
sp|P0ADM4|YIDQ_ECOLI	0.045	1.0
sp|P76569|YFGD_ECOLI	-0.261	0.187
sp|P0A715|KDSA_ECOLI	-0.079	0.545
sp|P0ADQ7|YGAM_ECOLI	0.817	8.175e-05
sp|P0AA10|RL13_ECOLI	-0.024	0.85
sp|P0AC81|LGUL_ECOLI	-0.052	0.691
sp|P0ADY7|RL16_ECOLI	-0.553	5.377e-05
sp|P25738|MSYB_ECOLI	0.305	0.036
sp|P07109|HISP_ECOLI	-0.534	0.021
sp|P10907|UGPC_ECOLI	-0.24	0.12
sp|P0A7M9|RL31_ECOLI	-0.557	0.0002238
sp|P22524|MUKE_ECOLI	-0.092	0.561
sp|P0AE12|AMN_ECOLI	0.031	0.951
sp|P09323|PTW3C_ECOLI	-0.068	0.412
sp|P00909|TRPC_ECOLI	-0.446	4.434e-08
sp|P39180|AG43_ECOLI	0.722	1.377e-10
sp|P21165|PEPQ_ECOLI	0.155	0.066
sp|P0AED7|DAPE_ECOLI	-0.289	0.141
sp|P0ABU0|MENB_ECOLI	0.238	0.02
sp|P0A7F3|PYRI_ECOLI	-0.298	0.002
sp|P0A9T8|YBBA_ECOLI	0.205	0.655
sp|P68679|RS21_ECOLI	-0.281	0.088
sp|P0A8I3|YAAA_ECOLI	-0.27	0.0003081
sp|P10908|UGPQ_ECOLI	0.573	0.0001437
sp|P37645|YHJG_ECOLI	0.353	0.021
sp|P40874|MTOX_ECOLI	-0.349	0.003
sp|P0AFW8|ROF_ECOLI	0.099	0.83
sp|P0A7L3|RL20_ECOLI	-0.389	0.0003403
sp|P05791|ILVD_ECOLI	-0.347	2.465e-07
