protein	log2FC	p-val
sp|P0A805|RRF_ECOLI	-0.122	0.52
sp|P0AB91|AROG_ECOLI	-0.509	2.814e-12
sp|P37128|NUDK_ECOLI	-0.241	0.418
sp|P0A9F3|CYSB_ECOLI	-0.336	0.004
sp|P0A8J8|RHLB_ECOLI	0.447	0.0005469
sp|P78067|YNJE_ECOLI	2.005	3.749e-07
sp|P0AGJ9|SYY_ECOLI	-0.199	0.002
sp|P0A8I8|RLMH_ECOLI	0.214	0.842
sp|P00561|AK1H_ECOLI	-1.025	0.0
sp|P0AAC8|ISCA_ECOLI	-0.218	0.036
sp|P0A9C9|GLPX_ECOLI	-0.152	0.208
sp|P0A9P4|TRXB_ECOLI	-0.198	0.422
sp|P76402|YEGP_ECOLI	2.388	4.441e-16
sp|P07604|TYRR_ECOLI	0.807	2.8e-09
sp|P0AC55|GLNK_ECOLI	-2.646	9.361e-09
sp|P0ADS9|YGGN_ECOLI	0.377	0.01
sp|P0AE06|ACRA_ECOLI	-0.263	2.803e-06
sp|P0AD96|LIVJ_ECOLI	0.635	3.331e-15
sp|Q46948|YAJL_ECOLI	0.117	0.412
sp|P0A9S7|LIVG_ECOLI	0.771	7.335e-07
sp|P0AC33|FUMA_ECOLI	1.312	0.0
sp|P37327|YFDC_ECOLI	2.26	5.019e-11
sp|Q93K97|ADPP_ECOLI	1.005	7.154e-06
sp|P0C8J8|GATZ_ECOLI	3.741	0.0
sp|P0A9T8|YBBA_ECOLI	0.969	0.0003775
sp|P0A8V6|FADR_ECOLI	0.455	0.0007147
sp|P77526|YFCG_ECOLI	1.487	3.048e-07
sp|P17115|GUTQ_ECOLI	0.673	0.005
sp|P27306|STHA_ECOLI	2.03	0.0
sp|P0AEN1|FRE_ECOLI	0.396	0.056
sp|P45531|TUSC_ECOLI	0.46	0.139
sp|P22259|PCKA_ECOLI	3.439	0.0
sp|P21165|PEPQ_ECOLI	0.986	0.0
sp|P0A855|TOLB_ECOLI	-0.028	0.551
sp|P0A6Y1|IHFB_ECOLI	0.16	0.035
sp|P25516|ACNA_ECOLI	2.223	0.0
sp|P07024|USHA_ECOLI	0.912	9.105e-10
sp|P0A9W3|ETTA_ECOLI	0.164	0.002
sp|P0A8D0|NRDR_ECOLI	-0.53	0.05
sp|P23893|GSA_ECOLI	0.062	0.831
sp|P0AEB7|YOAB_ECOLI	0.276	0.561
sp|P27828|WECB_ECOLI	-1.962	2.772e-08
sp|P77611|RSXC_ECOLI	-0.622	0.028
sp|P0AFL6|PPX_ECOLI	0.408	0.448
sp|P31131|YDEJ_ECOLI	3.047	1.625e-09
sp|P0A9D8|DAPD_ECOLI	-0.731	0.0
sp|P0ABD5|ACCA_ECOLI	-0.082	0.338
