protein	log2FC	p-val
sp|P69222|IF1_ECOLI	0.163	0.504
sp|P0A9W9|YRDA_ECOLI	-0.367	0.0003095
sp|P09549|DEDD_ECOLI	-0.273	0.36
sp|P10378|ENTE_ECOLI	-0.6	0.026
sp|P0A991|ALF1_ECOLI	0.894	7.498e-12
sp|P04425|GSHB_ECOLI	0.541	0.001
sp|P0A7B8|HSLV_ECOLI	-0.65	0.057
sp|P37643|YHJE_ECOLI	-0.333	0.3
sp|P37339|LHGD_ECOLI	0.39	0.093
sp|P0AD05|YECA_ECOLI	0.573	0.026
sp|P64604|MLAD_ECOLI	-0.054	0.786
sp|P0AEY5|MDAB_ECOLI	-0.875	1.455e-05
sp|P0ACI0|ROB_ECOLI	0.288	0.154
sp|Q46948|YAJL_ECOLI	-0.412	0.027
sp|P77718|THII_ECOLI	-0.377	0.004
sp|P18133|PNCB_ECOLI	-0.019	0.943
sp|P13445|RPOS_ECOLI	1.336	5.985e-09
sp|P08660|AK3_ECOLI	0.033	0.927
sp|P0A9V1|LPTB_ECOLI	0.185	0.687
sp|P0AFG0|NUSG_ECOLI	-0.381	0.001
sp|P0A917|OMPX_ECOLI	0.271	0.027
sp|P0A817|METK_ECOLI	0.018	0.094
sp|P0A825|GLYA_ECOLI	-0.006	0.64
sp|P04949|FLIC_ECOLI	-2.496	2.962e-13
sp|P0ABA4|ATPD_ECOLI	-0.45	5.975e-05
sp|P17993|UBIG_ECOLI	-0.23	0.025
sp|P06961|CCA_ECOLI	0.242	0.348
sp|P0AGJ9|SYY_ECOLI	0.119	0.345
sp|P08997|MASY_ECOLI	1.043	0.0
sp|P0AA99|YAFK_ECOLI	0.296	0.443
sp|P31120|GLMM_ECOLI	-0.267	0.006
sp|P0A905|SLYB_ECOLI	0.462	0.004
sp|P37095|PEPB_ECOLI	0.171	0.219
sp|P0A6D7|AROK_ECOLI	-0.432	0.0001745
sp|P76097|YDCJ_ECOLI	1.525	1.337e-13
sp|P77717|YBAY_ECOLI	0.633	0.000614
sp|P05458|PTRA_ECOLI	0.249	0.148
sp|P0A6Y5|HSLO_ECOLI	-0.181	0.031
sp|P21179|CATE_ECOLI	1.495	0.0
sp|P0ACL0|GLPR_ECOLI	0.109	0.912
sp|P34209|YDCF_ECOLI	1.312	2.223e-07
sp|P26646|ACUI_ECOLI	0.421	0.003
sp|P0AG67|RS1_ECOLI	0.062	0.766
sp|P75818|YBJP_ECOLI	0.235	0.018
sp|P77775|YFCH_ECOLI	0.562	0.006
sp|P0A9F6|GCVA_ECOLI	0.497	0.097
sp|P37595|IAAA_ECOLI	0.519	0.05
sp|P39199|PRMB_ECOLI	0.155	0.373
sp|P0AGE0|SSB_ECOLI	0.048	0.854
sp|P62617|ISPF_ECOLI	0.419	0.168
sp|P16456|SELD_ECOLI	-0.24	0.204
sp|Q47083|CBL_ECOLI	0.547	0.052
sp|P39356|YJHU_ECOLI	0.145	0.519
sp|P0A7A2|GPMB_ECOLI	0.092	0.667
sp|P37747|GLF_ECOLI	-0.573	2.519e-07
sp|P0AFG8|ODP1_ECOLI	-0.094	0.007
sp|P77569|MHPR_ECOLI	-0.412	0.31
sp|P0AC13|DHPS_ECOLI	-0.469	0.004
sp|P77488|DXS_ECOLI	0.041	0.722
sp|P33232|LLDD_ECOLI	0.844	1.112e-10
sp|P0AA16|OMPR_ECOLI	0.059	0.865
sp|P02943|LAMB_ECOLI	-1.301	0.0
sp|P76535|MURQ_ECOLI	-0.278	0.097
sp|P0AE82|CPXA_ECOLI	0.706	0.0006571
sp|P0A9L3|FKBB_ECOLI	-0.344	0.015
sp|P0ACY3|YEAG_ECOLI	0.833	5.773e-15
sp|P32664|NUDC_ECOLI	0.23	0.559
sp|P0A9Q1|ARCA_ECOLI	0.797	9.851e-08
sp|P0ABN5|DCUA_ECOLI	-0.312	0.221
sp|P0A6E4|ASSY_ECOLI	-0.114	0.012
sp|P30850|RNB_ECOLI	-0.196	0.006
sp|P65367|YQCA_ECOLI	0.613	0.018
sp|P00961|SYGB_ECOLI	-0.082	0.009
sp|P0A7E5|PYRG_ECOLI	0.014	0.795
sp|P0A7S3|RS12_ECOLI	0.109	0.764
sp|P0A9Y6|CSPC_ECOLI	0.256	0.571
sp|P11875|SYR_ECOLI	0.112	0.102
sp|P37648|YHJJ_ECOLI	0.841	1.444e-05
sp|P0AES4|GYRA_ECOLI	-0.597	8.882e-16
sp|P0A7R9|RS11_ECOLI	-0.585	0.004
sp|P0ABD3|BFR_ECOLI	1.004	4.125e-12
sp|P76038|PUUD_ECOLI	-1.681	5.019e-06
sp|P09152|NARG_ECOLI	2.016	0.005
sp|P0A8M0|SYN_ECOLI	0.314	0.027
sp|P61714|RISB_ECOLI	-0.632	0.0001134
sp|P0AEJ2|ENTC_ECOLI	-0.365	0.349
sp|P06987|HIS7_ECOLI	0.505	3.982e-05
sp|P0ACK2|AGAR_ECOLI	0.509	0.205
sp|P0AF93|RIDA_ECOLI	0.393	0.088
sp|P76536|YFEX_ECOLI	-0.31	0.009
sp|P64612|ZAPE_ECOLI	0.534	0.046
sp|P33363|BGLX_ECOLI	-0.211	0.22
sp|P37759|RMLB1_ECOLI	-0.644	6.421e-08
sp|P0A951|ATDA_ECOLI	0.104	0.479
sp|P0AF67|TSAE_ECOLI	0.439	0.095
sp|P07604|TYRR_ECOLI	0.053	0.506
sp|P60560|GUAC_ECOLI	0.104	0.569
sp|P0A6I0|KCY_ECOLI	0.335	0.143
sp|P0AA04|PTHP_ECOLI	0.094	0.738
sp|P33136|OPGG_ECOLI	0.082	0.24
sp|P0A8R4|SLYX_ECOLI	-0.279	0.323
sp|P0AFM2|PROX_ECOLI	-0.66	0.002
sp|P0AFD6|NUOI_ECOLI	-0.506	0.001
sp|P0ACU7|YJDC_ECOLI	0.809	5.333e-06
sp|P76170|YNFB_ECOLI	0.205	0.568
sp|P0AGG8|TLDD_ECOLI	0.688	0.01
sp|P0AFM6|PSPA_ECOLI	0.146	0.434
sp|P76316|DCYD_ECOLI	0.06	0.943
sp|P0AG30|RHO_ECOLI	0.042	0.651
sp|P0A6F3|GLPK_ECOLI	0.91	4.527e-11
sp|P76503|FADI_ECOLI	0.314	0.076
sp|P32162|YIIS_ECOLI	-0.037	0.88
sp|P46852|YHHW_ECOLI	1.443	7.599e-11
sp|P0AFJ7|PITA_ECOLI	-0.305	0.225
sp|P37177|PT1P_ECOLI	0.151	0.608
sp|P69924|RIR2_ECOLI	0.113	0.209
sp|P0AGD3|SODF_ECOLI	-0.984	1.211e-09
sp|P39831|YDFG_ECOLI	-0.27	0.053
sp|P39321|TAMB_ECOLI	-0.139	0.586
sp|P0A8M6|YEEX_ECOLI	-0.102	0.717
sp|P08192|FOLC_ECOLI	-0.725	0.0004239
sp|P0A8B5|YBAB_ECOLI	-0.538	0.0009719
sp|Q47147|YAFJ_ECOLI	0.131	0.542
sp|P0A7Z0|RPIA_ECOLI	0.172	0.416
sp|P0A763|NDK_ECOLI	-0.372	0.006
sp|P0ABK5|CYSK_ECOLI	0.106	0.181
sp|P64429|YPFJ_ECOLI	0.341	0.015
sp|P09323|PTW3C_ECOLI	-0.087	0.223
sp|P18335|ARGD_ECOLI	0.164	0.274
sp|P0AEJ6|EUTB_ECOLI	0.594	0.029
sp|P04335|FRSA_ECOLI	0.038	0.892
sp|P0AEG4|DSBA_ECOLI	-0.067	0.786
sp|P64554|QUEE_ECOLI	0.108	0.335
sp|P69853|DMSD_ECOLI	0.233	0.251
sp|P0AEM9|FLIY_ECOLI	-0.016	0.392
sp|P39830|YBAL_ECOLI	0.847	0.008
sp|P0ADA3|NLPD_ECOLI	0.132	0.666
sp|P65556|YFCD_ECOLI	-0.152	0.46
