protein	log2FC	p-val
sp|P60422|RL2_ECOLI	0.058	0.141
sp|P39099|DEGQ_ECOLI	0.149	0.358
sp|P76177|YDGH_ECOLI	0.092	0.07
sp|P0AFC7|NUOB_ECOLI	0.885	8.288e-07
sp|P0AG90|SECD_ECOLI	0.167	0.053
sp|P76403|YEGQ_ECOLI	-0.046	0.593
sp|P21177|FADB_ECOLI	1.955	0.0
sp|P37744|RMLA1_ECOLI	-0.045	0.91
sp|P76536|YFEX_ECOLI	-0.159	0.336
sp|P0AAN9|IRAP_ECOLI	0.02	0.832
sp|P38038|CYSJ_ECOLI	-0.0001763	0.711
sp|P00963|ASNA_ECOLI	-0.444	3.514e-07
sp|P0AED0|USPA_ECOLI	-0.07	0.522
sp|P77285|RSXG_ECOLI	-0.437	0.121
sp|P07109|HISP_ECOLI	0.31	0.175
sp|P0ACR4|YEIE_ECOLI	-0.613	0.026
sp|P0A805|RRF_ECOLI	0.059	0.966
sp|P65870|QUED_ECOLI	0.816	0.002
sp|P07118|SYV_ECOLI	-0.01	0.761
sp|Q46856|YQHD_ECOLI	-2.754	0.0
sp|P36771|LRHA_ECOLI	1.289	5.132e-06
sp|P63417|YHBS_ECOLI	0.12	0.397
sp|P0C093|SLMA_ECOLI	0.046	0.201
sp|P09029|PURK_ECOLI	0.086	0.215
sp|P07004|PROA_ECOLI	-0.098	0.045
sp|P77774|BAMB_ECOLI	-0.138	0.334
sp|P68206|YJBJ_ECOLI	0.769	0.008
sp|Q46845|YGHU_ECOLI	0.308	0.0001235
sp|P0A9X4|MREB_ECOLI	0.044	0.897
sp|P0AEG4|DSBA_ECOLI	0.273	0.018
sp|P0A7V3|RS3_ECOLI	-0.162	0.009
sp|P69853|DMSD_ECOLI	-0.566	0.0008862
sp|P0AFB8|NTRC_ECOLI	-0.521	0.033
sp|P0ADT8|YGIM_ECOLI	-0.238	0.04
sp|P08312|SYFA_ECOLI	0.206	0.105
sp|P16703|CYSM_ECOLI	-0.04	0.784
sp|P0AFG0|NUSG_ECOLI	-0.129	0.384
sp|P52643|LDHD_ECOLI	-0.815	1.046e-09
sp|P63284|CLPB_ECOLI	0.293	2.494e-11
sp|P0A6I0|KCY_ECOLI	0.081	0.727
sp|P23883|PUUC_ECOLI	-0.016	0.784
sp|P0AC02|BAMD_ECOLI	-0.03	0.302
sp|P06616|ERA_ECOLI	0.334	0.143
sp|P0ACB0|DNAB_ECOLI	-0.187	0.057
sp|P0ADY1|PPID_ECOLI	-0.081	0.822
sp|P30125|LEU3_ECOLI	-0.342	0.0003564
sp|P0A6D3|AROA_ECOLI	-0.655	3.121e-10
sp|P05825|FEPA_ECOLI	-1.951	0.0
sp|P0A9D2|GSTA_ECOLI	0.121	0.361
sp|P0A7J7|RL11_ECOLI	0.11	0.152
sp|P27431|ROXA_ECOLI	0.048	0.769
sp|P67603|YQFB_ECOLI	0.162	0.33
sp|P0A912|PAL_ECOLI	0.142	0.21
sp|P0ADW3|YHCB_ECOLI	-0.061	0.483
sp|P37751|WBBK_ECOLI	-0.076	0.046
sp|P08373|MURB_ECOLI	0.094	0.597
sp|P04335|FRSA_ECOLI	-0.743	2.907e-06
