protein	log2FC	p-val
sp|P39356|YJHU_ECOLI	-0.686	0.081
sp|P75736|YBFF_ECOLI	-0.018	0.769
sp|P0A8E7|YAJQ_ECOLI	0.11	0.262
sp|P31063|YEDD_ECOLI	-0.193	0.307
sp|P23843|OPPA_ECOLI	0.294	3.689e-07
sp|P0AC33|FUMA_ECOLI	0.268	3.843e-05
sp|P30178|HCXB_ECOLI	0.518	0.001
sp|P41052|MLTB_ECOLI	-0.024	0.825
sp|P27247|PLSX_ECOLI	0.79	0.007
sp|P75913|GHRA_ECOLI	-0.061	0.784
sp|P0A9F6|GCVA_ECOLI	-0.721	0.016
sp|P37188|PTKB_ECOLI	1.086	0.0004452
sp|P0C093|SLMA_ECOLI	0.621	0.004
sp|P0AG67|RS1_ECOLI	-0.59	0.0
sp|P64636|YRFG_ECOLI	-0.751	0.06
sp|P77243|PRPD_ECOLI	-0.162	0.492
sp|P75694|YAHO_ECOLI	1.897	7.007e-11
sp|P05042|FUMC_ECOLI	2.071	0.0
sp|P13009|METH_ECOLI	-0.495	1.223e-09
sp|P37613|PANZ_ECOLI	0.434	0.215
sp|P0ACA7|GSTB_ECOLI	0.325	0.027
sp|P0A6Y5|HSLO_ECOLI	0.304	0.014
sp|P0AEX3|KGTP_ECOLI	1.319	4.99e-12
sp|P0A921|PA1_ECOLI	0.332	0.379
sp|P0A830|DCTA_ECOLI	0.643	0.146
sp|P23827|ECOT_ECOLI	0.137	0.361
sp|P39838|RCSD_ECOLI	-0.259	0.026
sp|P0AEH5|ELAB_ECOLI	1.272	4.304e-09
sp|P32173|MOBA_ECOLI	-0.108	0.208
sp|P0AE52|BCP_ECOLI	-0.061	0.129
sp|P0A7N4|RL32_ECOLI	-0.415	0.129
sp|P0AE82|CPXA_ECOLI	-0.518	0.007
sp|P33218|YEBE_ECOLI	-0.888	4.689e-06
sp|P0A9T4|TAS_ECOLI	0.607	0.002
sp|P13024|FDHE_ECOLI	0.67	0.006
sp|P0A6I9|COAE_ECOLI	0.241	0.361
sp|P0A725|LPXC_ECOLI	0.735	0.0002411
sp|P0AG84|YGHA_ECOLI	1.282	0.0001669
sp|P0A8F8|UVRB_ECOLI	0.37	0.004
sp|P12758|UDP_ECOLI	0.349	0.0009815
sp|P09158|SPEE_ECOLI	0.141	0.374
sp|P12295|UNG_ECOLI	-0.374	0.082
sp|P31678|OTSB_ECOLI	0.614	0.018
sp|P03841|MALM_ECOLI	1.095	7.123e-09
sp|P0A9F1|MNTR_ECOLI	0.095	0.487
sp|P0ADB1|OSME_ECOLI	0.879	1.806e-07
sp|P27242|WAAU_ECOLI	0.212	0.608
sp|P36938|PGM_ECOLI	0.262	0.002
sp|P27303|EMRA_ECOLI	0.644	4.967e-05
sp|P0A9S5|GLDA_ECOLI	0.647	0.002
sp|P25516|ACNA_ECOLI	1.752	0.0
sp|P64602|MLAB_ECOLI	-0.746	0.007
sp|P52643|LDHD_ECOLI	0.051	0.778
sp|P37666|GHRB_ECOLI	-0.312	0.023
sp|P0A8M0|SYN_ECOLI	-0.333	0.003
sp|P0A744|MSRA_ECOLI	0.041	0.106
sp|P0A6D3|AROA_ECOLI	-0.437	1.861e-05
sp|P0AD61|KPYK1_ECOLI	-0.692	0.0
sp|P27249|GLND_ECOLI	-0.58	0.007
sp|P0ACB0|DNAB_ECOLI	0.055	0.149
sp|P69425|TATB_ECOLI	0.138	0.413
sp|P0A6I3|COAA_ECOLI	0.137	0.285
sp|P32680|YJAG_ECOLI	-0.093	0.702
sp|P76342|MSRP_ECOLI	0.067	0.717
sp|P31455|YIDR_ECOLI	0.28	0.111
sp|P0A6M8|EFG_ECOLI	0.038	0.506
sp|P37051|PURU_ECOLI	-0.48	0.003
sp|P52007|YECM_ECOLI	-0.175	0.368
sp|P23883|PUUC_ECOLI	0.294	0.24
sp|P50457|PUUE_ECOLI	0.354	0.077
sp|P02924|ARAF_ECOLI	0.074	0.377
sp|P17115|GUTQ_ECOLI	-0.242	0.355
