protein	log2FC	p-val
sp|P62623|ISPH_ECOLI	0.058	0.472
sp|P0AEI6|NUDJ_ECOLI	0.631	0.009
sp|P68187|MALK_ECOLI	-1.033	1.089e-06
sp|P0ABU0|MENB_ECOLI	0.27	0.05
sp|P45771|YRDD_ECOLI	0.084	0.786
sp|P21362|YCIF_ECOLI	0.452	0.063
sp|P0A790|PAND_ECOLI	0.183	0.241
sp|P0AD59|IVY_ECOLI	0.322	0.014
sp|P0A7L8|RL27_ECOLI	0.093	0.109
sp|P04846|NLPA_ECOLI	0.399	8.322e-05
sp|P76339|HPRS_ECOLI	-0.183	0.656
sp|P0ACG1|STPA_ECOLI	-0.04	0.225
sp|P0ACF8|HNS_ECOLI	0.211	0.121
sp|P0A910|OMPA_ECOLI	0.363	4.152e-07
sp|P0ABF6|CDD_ECOLI	0.19	0.807
sp|P0A8K5|YAEP_ECOLI	0.423	0.173
sp|P0A8L1|SYS_ECOLI	0.24	0.003
sp|P0A705|IF2_ECOLI	-0.24	6.198e-07
sp|P31455|YIDR_ECOLI	0.237	0.649
sp|P0AG48|RL21_ECOLI	-0.406	0.006
sp|P39286|RSGA_ECOLI	-0.139	0.059
sp|P80668|FEAB_ECOLI	-0.384	0.095
sp|P26616|MAO1_ECOLI	0.786	0.0
sp|P0ADT5|YGIC_ECOLI	-0.261	0.034
sp|P75694|YAHO_ECOLI	0.388	0.003
sp|P0A6Z6|NIKR_ECOLI	0.217	0.346
sp|P0A6F3|GLPK_ECOLI	-0.905	0.0
sp|P17952|MURC_ECOLI	0.184	0.121
sp|P0A8A4|PSRP_ECOLI	0.27	0.006
sp|P76658|HLDE_ECOLI	-0.443	4.713e-07
sp|P04805|SYE_ECOLI	0.106	0.017
sp|P37595|IAAA_ECOLI	0.649	0.004
sp|P0ABY4|FLAW_ECOLI	-0.596	0.031
sp|P0AG59|RS14_ECOLI	0.306	0.551
sp|P0ABU9|TOLQ_ECOLI	-0.614	0.0003125
sp|P0ADX9|RSMD_ECOLI	-0.459	0.581
sp|P37344|PSPF_ECOLI	-0.044	0.74
sp|P0AG99|SECG_ECOLI	-0.837	1.906e-05
sp|P64506|YEBY_ECOLI	0.446	0.053
sp|P00935|METB_ECOLI	0.136	0.344
sp|P0ABD5|ACCA_ECOLI	-0.511	1.469e-06
sp|P39831|YDFG_ECOLI	0.252	0.006
sp|P43329|HRPA_ECOLI	-0.242	0.01
sp|P24186|FOLD_ECOLI	0.733	1.721e-10
sp|P64564|YGGT_ECOLI	-0.344	0.16
sp|P0A8B5|YBAB_ECOLI	0.02	0.726
sp|P75960|NPD_ECOLI	0.425	0.0003109
sp|P0A7S9|RS13_ECOLI	0.096	0.321
sp|P0AGG4|THIO2_ECOLI	-0.263	0.25
sp|P0AEQ6|GLNP_ECOLI	-0.648	7.168e-05
sp|P0AG30|RHO_ECOLI	0.189	0.0001667
sp|P0A796|PFKA_ECOLI	0.11	0.451
sp|P0A7B5|PROB_ECOLI	0.159	0.01
sp|P0A9Q5|ACCD_ECOLI	-0.133	0.532
sp|P02943|LAMB_ECOLI	-0.366	9.887e-07
sp|P0AAP3|FRMR_ECOLI	-0.302	0.475
sp|P33940|MQO_ECOLI	0.373	0.021
sp|P0A6S7|GPDA_ECOLI	-0.1	0.612
sp|P27303|EMRA_ECOLI	-0.255	0.318
sp|P37387|XYLF_ECOLI	-0.509	0.015
sp|P02359|RS7_ECOLI	-0.225	0.0001259
sp|P0A8J2|DNAT_ECOLI	0.323	0.294
sp|P0A8F0|UPP_ECOLI	-0.139	0.015
sp|P40191|PDXK_ECOLI	0.175	0.355
sp|P78055|FSAA_ECOLI	0.303	0.088
sp|P0AAR3|YBAK_ECOLI	0.651	0.0003312
sp|P69874|POTA_ECOLI	-0.204	0.152
sp|P60560|GUAC_ECOLI	-0.25	0.013
sp|P0A6N4|EFP_ECOLI	-0.182	0.113
sp|P0A8S1|ARGP_ECOLI	-0.294	0.016
sp|P23886|CYDC_ECOLI	-0.293	0.054
sp|P10902|NADB_ECOLI	-0.303	0.078
sp|P11880|MURF_ECOLI	0.548	0.003
sp|P07604|TYRR_ECOLI	-0.212	0.052
sp|P12281|MOEA_ECOLI	0.526	7.514e-05
sp|P37760|RMLD_ECOLI	0.318	0.007
sp|P76541|EUTL_ECOLI	0.865	0.008
sp|P77674|ABDH_ECOLI	-0.998	2.087e-14
sp|P27830|RMLB2_ECOLI	0.392	0.303
sp|P0A8J8|RHLB_ECOLI	0.069	0.92
sp|P77541|PRPB_ECOLI	-1.216	5.915e-05
sp|P76550|YFFS_ECOLI	0.416	0.01
sp|P0AC59|GLRX2_ECOLI	-0.25	0.033
sp|P37329|MODA_ECOLI	-0.461	7.983e-05
sp|P0AEG6|DSBC_ECOLI	0.166	0.601
sp|P11454|ENTF_ECOLI	-0.432	0.122
sp|P31119|AAS_ECOLI	0.22	0.463
sp|P0AFP6|GCH1L_ECOLI	0.489	0.000153
sp|P39310|YTFB_ECOLI	0.517	0.215
sp|P09151|LEU1_ECOLI	0.879	0.0
