protein	log2FC	p-val
sp|P0A7N9|RL33_ECOLI	0.06	1.0
sp|P0A7S9|RS13_ECOLI	0.145	0.77
sp|P0AC47|FRDB_ECOLI	-0.195	0.335
sp|P07118|SYV_ECOLI	0.008	0.635
sp|P0AC86|PHSG_ECOLI	-0.322	0.0009886
sp|P0A6L4|NANA_ECOLI	-0.8	0.002
sp|P76503|FADI_ECOLI	-0.374	0.0009466
sp|P0A8X0|YJGA_ECOLI	0.816	2.467e-05
sp|P0ABF1|PCNB_ECOLI	0.005	0.74
sp|P22106|ASNB_ECOLI	-0.969	4.441e-16
sp|P0AA04|PTHP_ECOLI	0.415	0.043
sp|P23843|OPPA_ECOLI	-0.14	0.033
sp|P21369|PNCA_ECOLI	0.589	0.061
sp|P03813|YGEA_ECOLI	-0.047	0.866
sp|P25519|HFLX_ECOLI	-0.074	0.116
sp|P0A7Y0|RNC_ECOLI	0.247	0.044
sp|P09126|HEM4_ECOLI	-0.079	0.85
sp|P69503|APT_ECOLI	-0.05	0.846
sp|P0AF12|MTNN_ECOLI	0.163	0.651
sp|P15977|MALQ_ECOLI	-0.034	0.885
sp|P76008|LDCA_ECOLI	-0.261	0.359
sp|Q46919|YQCC_ECOLI	-0.252	0.248
sp|P21829|YBHA_ECOLI	-0.4	0.144
sp|P04693|TYRB_ECOLI	0.049	0.417
sp|P21367|YCAC_ECOLI	1.284	7.883e-13
sp|P0AAB4|UBID_ECOLI	0.245	0.02
sp|P32099|LPLA_ECOLI	0.31	0.229
sp|P76535|MURQ_ECOLI	-0.392	0.091
sp|P75691|YAHK_ECOLI	1.427	0.0
sp|P69228|BAER_ECOLI	0.912	4.895e-06
sp|P0C0S1|MSCS_ECOLI	-0.424	0.007
sp|P67910|HLDD_ECOLI	0.279	0.004
sp|P0A9Q5|ACCD_ECOLI	0.309	0.027
sp|P0A847|TGT_ECOLI	-0.009	0.949
sp|P40874|MTOX_ECOLI	-0.472	1.848e-05
sp|P0A908|MIPA_ECOLI	0.046	0.702
sp|P02924|ARAF_ECOLI	1.729	0.0
sp|P39176|ERFK_ECOLI	1.37	4.561e-06
sp|P0AGK4|YHBY_ECOLI	0.537	0.013
sp|P31678|OTSB_ECOLI	1.37	1.341e-08
sp|P25738|MSYB_ECOLI	1.636	2.406e-08
sp|P0A8Y5|YIDA_ECOLI	0.205	0.359
sp|P0ADQ2|YIID_ECOLI	0.154	0.55
sp|P0A836|SUCC_ECOLI	-1.144	0.0
sp|P0ABS1|DKSA_ECOLI	0.274	0.054
sp|P0A7J7|RL11_ECOLI	-0.372	0.005
sp|P0A7M9|RL31_ECOLI	0.405	0.019
sp|P0AEF8|DPPB_ECOLI	-0.534	0.056
sp|P0C960|EMTA_ECOLI	-0.592	0.029
sp|P0A7L3|RL20_ECOLI	-0.424	0.02
sp|P28304|QOR1_ECOLI	1.008	0.0
sp|P0AD49|YFIA_ECOLI	-0.525	0.003
sp|P0AF36|ZAPB_ECOLI	-0.221	0.829
sp|P68206|YJBJ_ECOLI	2.626	0.003
sp|P0AEM0|FKBX_ECOLI	0.176	0.607
sp|P0ABA0|ATPF_ECOLI	-0.755	1.426e-08
sp|P62768|YAEH_ECOLI	0.581	1.889e-05
sp|P0A917|OMPX_ECOLI	0.621	3.367e-07
sp|P0A6C1|END4_ECOLI	-0.058	0.648
sp|P16926|MREC_ECOLI	0.09	0.735
sp|P0AC51|ZUR_ECOLI	-0.085	0.873
sp|P0ACI0|ROB_ECOLI	0.415	0.129
sp|P27278|NADR_ECOLI	1.062	0.0004213
sp|P0AGE4|SSTT_ECOLI	0.14	0.958
sp|P0A6J8|DDLA_ECOLI	-0.838	0.0001207
sp|P76142|LSRB_ECOLI	1.668	1.691e-08
sp|P15067|GLGX_ECOLI	0.004	0.859
sp|P31130|YDEI_ECOLI	1.687	1.259e-07
sp|P0A6V1|GLGC_ECOLI	-0.761	8.234e-09
sp|Q47146|FADE_ECOLI	-0.827	1.158e-10
sp|P60906|SYH_ECOLI	0.189	0.04
sp|P39160|UXUB_ECOLI	0.606	0.015
sp|P45579|HCXA_ECOLI	0.839	0.0001872
sp|P0AB55|YCII_ECOLI	0.321	0.063
sp|P21499|RNR_ECOLI	-0.138	0.391
sp|P30126|LEUD_ECOLI	0.69	1.326e-05
sp|P0AEW6|INGK_ECOLI	-0.573	0.01
sp|P37440|UCPA_ECOLI	0.223	0.086
sp|P0A8T1|PRMA_ECOLI	0.407	0.168
sp|Q57261|TRUD_ECOLI	-0.424	0.006
sp|P0AAZ7|YCAR_ECOLI	0.169	0.474
sp|P0ACQ4|OXYR_ECOLI	0.098	0.671
sp|P39310|YTFB_ECOLI	-0.355	0.095
sp|P77499|SUFC_ECOLI	0.369	0.013
sp|P0AFL3|PPIA_ECOLI	-0.253	0.042
sp|P22256|GABT_ECOLI	0.244	0.048
sp|P0AEZ3|MIND_ECOLI	-0.281	0.0002433
sp|P77735|YAJO_ECOLI	0.755	3.765e-09
sp|P0ABV6|TOLR_ECOLI	-0.183	0.608
sp|P21170|SPEA_ECOLI	-0.548	9.159e-09
sp|P37313|DPPF_ECOLI	0.004	0.661
sp|P0ABP8|DEOD_ECOLI	0.222	0.024
sp|P75777|YBHG_ECOLI	0.188	0.595
sp|P0ADA3|NLPD_ECOLI	-0.045	0.709
sp|P31554|LPTD_ECOLI	0.362	0.0001796
sp|P05793|ILVC_ECOLI	0.22	0.001
sp|P0A9T8|YBBA_ECOLI	0.23	0.088
sp|P23305|YIGA_ECOLI	0.037	0.971
sp|P0AC19|FOLX_ECOLI	-0.501	0.007
sp|P75792|SUPH_ECOLI	-0.003	0.757
sp|P0AG51|RL30_ECOLI	-0.244	0.077
sp|P12281|MOEA_ECOLI	0.278	0.366
sp|P0ABB4|ATPB_ECOLI	-0.708	0.0
sp|P76506|MLAA_ECOLI	0.114	0.498
sp|P0A8A8|RIMP_ECOLI	-0.165	0.484
sp|P0ABQ0|COABC_ECOLI	-0.487	0.004
sp|P04846|NLPA_ECOLI	0.478	0.002
sp|P0ADB1|OSME_ECOLI	1.945	6.06e-13
sp|P09546|PUTA_ECOLI	-0.365	0.103
sp|P0ACN4|ALLR_ECOLI	0.651	0.002
sp|P0A8N5|SYK2_ECOLI	0.392	0.022
sp|P07913|TDH_ECOLI	0.572	0.016
sp|P0C037|PPNP_ECOLI	0.069	0.961
sp|P07109|HISP_ECOLI	-0.063	0.291
sp|P0A9J8|CMPDT_ECOLI	1.451	0.0
sp|P0AFM2|PROX_ECOLI	0.188	0.187
sp|P69428|TATA_ECOLI	-0.087	0.81
sp|P37330|MASZ_ECOLI	2.321	0.0
sp|P0A7Z0|RPIA_ECOLI	0.003	0.728
sp|P64448|YNBE_ECOLI	0.407	0.162
sp|P0AGA2|SECY_ECOLI	0.029	0.834
sp|P0ACY1|YDJA_ECOLI	-0.388	0.027
sp|P55734|YGAP_ECOLI	0.552	0.053
sp|P21507|SRMB_ECOLI	0.196	0.162
sp|P0A879|TRPB_ECOLI	-0.099	0.063
sp|P0AG78|SUBI_ECOLI	0.852	1.403e-07
sp|P0A6U5|RSMG_ECOLI	0.084	0.906
sp|P0A927|TSX_ECOLI	-0.27	0.744
sp|P0A8U6|METJ_ECOLI	0.233	0.119
sp|P0A7Z4|RPOA_ECOLI	0.025	0.112
sp|P37773|MPL_ECOLI	0.268	0.061
sp|P00959|SYM_ECOLI	-0.145	0.022
sp|P63177|RLMB_ECOLI	0.041	0.975
sp|P0ACF0|DBHA_ECOLI	0.33	0.042
sp|P39342|YJGR_ECOLI	0.856	5.573e-14
sp|P0AE88|CPXR_ECOLI	-0.029	0.43
sp|P00956|SYI_ECOLI	-0.228	6.136e-06
sp|P0AGE9|SUCD_ECOLI	-0.856	0.0
sp|P0A6H5|HSLU_ECOLI	-0.344	1.662e-06
sp|P0A8N0|MATP_ECOLI	-0.376	0.199
sp|P40191|PDXK_ECOLI	0.528	0.03
sp|P52062|YGGW_ECOLI	0.005	1.0
sp|P36771|LRHA_ECOLI	0.073	0.831
sp|P61949|FLAV_ECOLI	0.11	0.19
sp|P0A707|IF3_ECOLI	0.274	0.008
sp|P05020|PYRC_ECOLI	-0.127	0.178
sp|P17115|GUTQ_ECOLI	-0.245	0.217
sp|P0AEE1|DCRB_ECOLI	-0.457	0.002
sp|P09099|XYLB_ECOLI	0.803	0.0006966
sp|P62517|OPGH_ECOLI	-0.001	0.38
sp|P69853|DMSD_ECOLI	0.082	0.601
sp|P0A8I5|TRMB_ECOLI	0.199	0.723
sp|P0AAC0|USPE_ECOLI	0.128	0.304
sp|P0A6G3|PNCC_ECOLI	0.265	0.767
sp|P0AGB0|SERB_ECOLI	-0.112	0.805
sp|P75913|GHRA_ECOLI	0.44	0.002
sp|P20099|BISC_ECOLI	0.787	0.002
sp|P60240|RAPA_ECOLI	-0.012	0.746
sp|P29018|CYDD_ECOLI	-0.098	0.766
sp|P0AB14|YCCJ_ECOLI	1.061	1.101e-05
sp|P38038|CYSJ_ECOLI	-0.223	0.0006415
sp|P0A817|METK_ECOLI	-0.182	0.008
