protein	log2FC	p-val
sp|P0AG63|RS17_ECOLI	0.96	0.132
sp|P0AG14|SOHB_ECOLI	-0.106	0.809
sp|P0A9M8|PTA_ECOLI	0.398	3.957e-12
sp|P0A6H5|HSLU_ECOLI	0.405	7.1e-07
sp|P23886|CYDC_ECOLI	0.352	0.011
sp|P23839|YICC_ECOLI	0.089	0.172
sp|P0A8E1|YCFP_ECOLI	0.449	0.069
sp|P0A8I5|TRMB_ECOLI	0.355	0.099
sp|P00887|AROH_ECOLI	-0.724	0.0002502
sp|P27242|WAAU_ECOLI	1.196	2.07e-06
sp|P0A6J8|DDLA_ECOLI	-0.114	0.661
sp|P0A8E7|YAJQ_ECOLI	-0.287	0.007
sp|P0A8A8|RIMP_ECOLI	-0.333	0.374
sp|P75728|UBIF_ECOLI	0.497	0.035
sp|P21645|LPXD_ECOLI	0.016	0.852
sp|P0A9J6|RBSK_ECOLI	1.202	4.13e-14
sp|P0ADG4|SUHB_ECOLI	0.062	0.162
sp|P22188|MURE_ECOLI	-0.226	0.006
sp|P68919|RL25_ECOLI	-0.491	2.148e-05
sp|P25535|UBII_ECOLI	0.362	0.103
sp|P32162|YIIS_ECOLI	0.003	0.686
sp|P0AF93|RIDA_ECOLI	0.843	2.635e-09
sp|P0A8G0|UVRC_ECOLI	0.086	0.771
sp|P33940|MQO_ECOLI	-0.504	0.222
sp|P04693|TYRB_ECOLI	0.378	0.002
sp|P13024|FDHE_ECOLI	0.382	0.0003713
sp|P0A9C9|GLPX_ECOLI	-0.045	0.996
sp|P18335|ARGD_ECOLI	-0.793	4.441e-16
sp|P23893|GSA_ECOLI	-0.139	0.003
sp|P0AAB4|UBID_ECOLI	1.024	8.218e-10
sp|P0A884|TYSY_ECOLI	0.341	0.01
sp|P52096|YAER_ECOLI	0.483	0.021
sp|P0C0K3|SRKA_ECOLI	0.165	0.614
sp|P64448|YNBE_ECOLI	0.846	0.003
sp|P61316|LOLA_ECOLI	-0.798	7.127e-09
sp|P0A705|IF2_ECOLI	-0.091	0.869
sp|P0AC19|FOLX_ECOLI	0.182	0.298
sp|P0ABS8|HOLE_ECOLI	-0.196	0.602
sp|P29217|YCEH_ECOLI	-0.033	0.984
sp|P0A9Z1|GLNB_ECOLI	0.491	0.002
sp|P0A8X2|YCEI_ECOLI	-0.34	0.019
sp|P0ACZ4|EVGA_ECOLI	0.478	0.083
sp|P0AEM4|FLGM_ECOLI	1.825	7.376e-13
sp|P0AEL6|FEPB_ECOLI	0.373	0.057
sp|P0A9L8|P5CR_ECOLI	-0.46	0.01
sp|P0AB98|ATP6_ECOLI	0.689	0.0003589
sp|P37745|RMLC_ECOLI	0.582	0.0004697
sp|P06710|DPO3X_ECOLI	0.767	0.000264
sp|P0AAC0|USPE_ECOLI	0.066	0.062
sp|P0AEV1|RSSB_ECOLI	1.079	0.001
sp|P45523|FKBA_ECOLI	-0.171	0.015
sp|P65870|QUED_ECOLI	0.024	0.906
sp|P09980|REP_ECOLI	0.774	0.031
sp|P0AA04|PTHP_ECOLI	-0.166	0.084
sp|P0A910|OMPA_ECOLI	-0.019	0.329
sp|P04983|RBSA_ECOLI	2.087	7.773e-08
sp|P0A7G2|RBFA_ECOLI	-0.443	0.003
sp|P0ADT5|YGIC_ECOLI	0.397	0.0006132
sp|P0ACP1|CRA_ECOLI	1.049	2.994e-11
sp|P0A6E4|ASSY_ECOLI	-0.978	0.0
sp|P0ADV7|MLAC_ECOLI	0.031	0.172
sp|P76536|YFEX_ECOLI	0.054	0.463
sp|P32132|TYPA_ECOLI	-0.768	0.0
sp|P23837|PHOQ_ECOLI	1.652	8.76e-07
sp|P0A8N3|SYK1_ECOLI	-0.016	0.219
sp|P0AE01|TRMJ_ECOLI	-0.893	0.0004733
