protein	log2FC	p-val
sp|P76621|GLAH_ECOLI	1.514	2.353e-07
sp|P52108|RSTA_ECOLI	-0.211	0.095
sp|P21151|FADA_ECOLI	2.475	0.0
sp|P39838|RCSD_ECOLI	-0.053	0.479
sp|P0AG51|RL30_ECOLI	-0.342	0.029
sp|P62617|ISPF_ECOLI	-0.206	0.195
sp|P76330|DGCQ_ECOLI	1.028	0.011
sp|P23869|PPIB_ECOLI	0.188	0.057
sp|P33219|YEBF_ECOLI	1.081	3.216e-11
sp|P75913|GHRA_ECOLI	0.253	0.028
sp|P0ADY7|RL16_ECOLI	-0.539	9.804e-05
sp|P31064|YEDE_ECOLI	0.797	0.002
sp|P0AFC3|NUOA_ECOLI	-0.162	0.458
sp|P37745|RMLC_ECOLI	0.195	0.101
sp|P36548|AMIA_ECOLI	-0.16	0.424
sp|P0A6L9|HSCB_ECOLI	-0.256	0.658
sp|P60293|MUKF_ECOLI	0.204	0.197
sp|P00954|SYW_ECOLI	-0.066	0.436
sp|P09323|PTW3C_ECOLI	1.273	0.0
sp|P22731|LIVF_ECOLI	0.612	0.002
sp|P0ABK5|CYSK_ECOLI	-0.064	0.238
sp|P0AFT5|BTSR_ECOLI	0.801	0.002
sp|P0A8H6|YIHI_ECOLI	0.117	0.253
sp|P69054|DHSC_ECOLI	0.244	0.17
sp|P76346|MTFA_ECOLI	1.597	2.143e-12
sp|P0A6Q3|FABA_ECOLI	0.402	1.233e-05
sp|P0AF20|NAGC_ECOLI	0.13	0.365
sp|P37751|WBBK_ECOLI	-0.076	0.547
sp|P0A9M8|PTA_ECOLI	0.048	0.421
sp|P0A8R0|RRAA_ECOLI	0.242	0.061
sp|P39099|DEGQ_ECOLI	0.635	2.857e-10
sp|P0ACP1|CRA_ECOLI	0.633	8.429e-06
sp|P77211|CUSC_ECOLI	-0.19	0.115
sp|P0ABB0|ATPA_ECOLI	0.129	0.0003947
sp|P52643|LDHD_ECOLI	0.421	0.005
sp|P31547|METI_ECOLI	0.228	0.364
sp|P76008|LDCA_ECOLI	0.031	0.909
sp|P0AG20|RELA_ECOLI	0.002	0.659
sp|P11447|ARLY_ECOLI	-0.395	1.101e-07
sp|P75792|SUPH_ECOLI	-0.449	0.011
sp|P0A6W9|GSH1_ECOLI	0.132	0.077
sp|P42620|YQJG_ECOLI	1.002	8.341e-08
sp|P0ACE7|HINT_ECOLI	0.297	0.009
sp|P45578|LUXS_ECOLI	0.116	0.201
sp|P0A6J8|DDLA_ECOLI	-0.54	0.002
sp|P0A9F1|MNTR_ECOLI	-0.16	0.688
sp|P0AED9|DCM_ECOLI	0.076	0.784
sp|P75682|YAGE_ECOLI	1.282	6.678e-08
sp|P62768|YAEH_ECOLI	0.626	1.632e-07
sp|P60752|MSBA_ECOLI	-0.076	0.725
sp|P0A7A5|PIMT_ECOLI	0.437	0.032
sp|P10408|SECA_ECOLI	0.236	0.001
sp|P0CB39|EPTC_ECOLI	-0.477	0.003
sp|P0AGD1|SODC_ECOLI	1.504	1.287e-06
sp|P75949|NAGZ_ECOLI	-0.223	0.084
sp|P15038|HELD_ECOLI	-0.246	0.056
sp|P0AGK8|ISCR_ECOLI	0.072	0.466
sp|P0AGF2|CSDE_ECOLI	-0.04	1.0
sp|P23886|CYDC_ECOLI	-0.39	0.015
sp|P20966|PTFBC_ECOLI	-4.25	0.0
sp|P75959|NAGK_ECOLI	0.341	0.162
sp|P0A6E1|AROL_ECOLI	-0.257	0.087
sp|P75838|YCAO_ECOLI	-0.674	7.248e-05
sp|P76027|OPPD_ECOLI	-0.343	0.213
sp|P0A6C5|ARGA_ECOLI	-0.29	0.003
sp|P00957|SYA_ECOLI	-0.304	1.564e-09
sp|P0AB91|AROG_ECOLI	-0.832	1.865e-11
sp|P10100|RLPA_ECOLI	-0.1	0.468
sp|P46130|YBHC_ECOLI	-0.167	0.065
sp|P0A784|ORN_ECOLI	0.045	0.469
sp|P09151|LEU1_ECOLI	0.054	0.346
sp|P0ADZ0|RL23_ECOLI	-0.332	0.025
sp|P22106|ASNB_ECOLI	-0.277	0.002
sp|P0A6U8|GLGA_ECOLI	0.086	0.497
sp|P0AEK2|FABG_ECOLI	0.163	0.176
sp|P0AB77|KBL_ECOLI	0.363	0.021
sp|P0AC02|BAMD_ECOLI	-0.06	0.383
sp|P0AC84|GLO2_ECOLI	0.786	2.493e-06
sp|P37744|RMLA1_ECOLI	-0.106	0.36
sp|P0A9G6|ACEA_ECOLI	1.92	0.0
sp|P77434|ALAC_ECOLI	0.557	0.011
sp|P76536|YFEX_ECOLI	0.407	0.001
sp|P77625|HXPA_ECOLI	0.021	0.896
sp|P0AAB8|USPD_ECOLI	0.84	0.002
sp|P0AEN8|FUCM_ECOLI	0.363	0.077
sp|P0ACR4|YEIE_ECOLI	0.29	0.319
sp|P0AG59|RS14_ECOLI	-0.716	1.205e-06
sp|P0ABB8|ATMA_ECOLI	-0.008	0.995
sp|P27303|EMRA_ECOLI	-0.021	1.0
sp|P0A8X0|YJGA_ECOLI	0.182	0.182
sp|P0AG99|SECG_ECOLI	-0.064	0.717
sp|P05020|PYRC_ECOLI	-0.174	0.079
sp|P65556|YFCD_ECOLI	-0.097	0.259
sp|P09148|GAL7_ECOLI	0.779	0.0001595
sp|P0AFU4|GLRR_ECOLI	-0.126	0.292
sp|P37005|LAST_ECOLI	0.359	0.007
sp|P0A840|SURE_ECOLI	0.043	0.874
sp|P62707|GPMA_ECOLI	0.28	7.708e-07
sp|P0AFX0|HPF_ECOLI	0.624	0.002
sp|P64554|QUEE_ECOLI	-0.322	0.051
sp|P68739|NFI_ECOLI	0.541	0.02
sp|P0A8J8|RHLB_ECOLI	-0.117	0.142
sp|P0A8P6|XERC_ECOLI	-0.252	0.958
sp|P0AD59|IVY_ECOLI	0.677	6.432e-05
sp|P77804|YDGA_ECOLI	0.28	0.0002189
sp|P09147|GALE_ECOLI	0.684	4.452e-12
sp|P0A8D3|YAII_ECOLI	-0.373	0.08
sp|P0AE12|AMN_ECOLI	0.001	0.77
sp|P0AEC0|YOAE_ECOLI	0.233	0.372
sp|P0AA39|RLUC_ECOLI	-0.208	0.135
sp|P31680|DJLA_ECOLI	-0.113	0.54
sp|P0A7N4|RL32_ECOLI	-0.312	0.114
sp|P0AFX4|RSD_ECOLI	0.615	0.002
sp|P0A8G9|EX7S_ECOLI	0.14	0.567
sp|P0ADK0|YIAF_ECOLI	0.098	0.72
sp|P0A7W7|RS8_ECOLI	-0.302	0.01
sp|P0A7B8|HSLV_ECOLI	-0.223	0.279
sp|P31979|NUOF_ECOLI	0.297	2.703e-05
sp|P31130|YDEI_ECOLI	0.907	2.141e-06
sp|P0A6P1|EFTS_ECOLI	-0.175	0.007
sp|P25553|ALDA_ECOLI	1.921	0.0
sp|P77243|PRPD_ECOLI	-0.455	0.362
sp|P0A944|RIMI_ECOLI	-0.338	0.272
sp|P33136|OPGG_ECOLI	0.04	0.241
sp|P0A7P5|RL34_ECOLI	0.073	0.349
sp|P60651|SPEB_ECOLI	0.031	0.288
sp|P0A8R4|SLYX_ECOLI	0.654	0.047
sp|P09831|GLTB_ECOLI	-0.725	0.0
sp|P27302|TKT1_ECOLI	-0.013	0.841
sp|P23538|PPSA_ECOLI	2.939	0.0
sp|P0A908|MIPA_ECOLI	0.1	0.211
sp|P77717|YBAY_ECOLI	0.552	0.003
sp|P07650|TYPH_ECOLI	0.568	2.404e-06
sp|P0A6E6|ATPE_ECOLI	0.051	0.406
sp|P36649|CUEO_ECOLI	0.503	0.002
sp|P75867|LONH_ECOLI	-0.101	0.264
sp|P0A7H6|RECR_ECOLI	-0.001	0.964
sp|P0A790|PAND_ECOLI	-0.726	0.022
sp|P39315|QOR2_ECOLI	0.583	0.001
sp|P0AF24|NAGD_ECOLI	0.06	0.549
sp|P0AB65|ACYP_ECOLI	0.59	0.594
sp|P0AGI8|TRKA_ECOLI	0.277	0.218
sp|P17846|CYSI_ECOLI	-0.391	9.401e-11
sp|P0ADG7|IMDH_ECOLI	-0.485	1.895e-10
sp|P0AEB7|YOAB_ECOLI	0.322	0.026
sp|P0AE78|CORC_ECOLI	0.158	0.043
sp|P0A951|ATDA_ECOLI	-0.255	0.324
sp|P08839|PT1_ECOLI	-0.563	0.0
sp|P16701|CYST_ECOLI	-0.156	0.61
sp|P0A8N3|SYK1_ECOLI	-0.252	2.69e-05
sp|P17315|CIRA_ECOLI	-0.054	0.582
sp|P0A6H5|HSLU_ECOLI	-0.057	0.069
sp|P17445|BETB_ECOLI	-0.397	0.046
sp|P77318|YDEN_ECOLI	3.035	4.821e-09
sp|P0A988|DPO3B_ECOLI	0.212	0.016
sp|P16926|MREC_ECOLI	-0.149	0.382
sp|P68699|ATPL_ECOLI	-0.05	1.0
sp|P38038|CYSJ_ECOLI	-0.462	3.336e-12
sp|P61714|RISB_ECOLI	-0.047	0.87
sp|P27249|GLND_ECOLI	-0.176	0.108
sp|P45579|HCXA_ECOLI	0.284	0.016
sp|P69874|POTA_ECOLI	-0.48	0.000768
sp|P0AAX8|YBIS_ECOLI	-0.276	0.019
sp|P08506|DACC_ECOLI	0.311	2.418e-06
sp|P30870|GLNE_ECOLI	-0.421	0.032
sp|P20083|PARE_ECOLI	0.013	0.998
sp|P0AEH3|ELAA_ECOLI	0.349	0.948
sp|P0AF96|TABA_ECOLI	0.167	0.004
sp|P0A9Q7|ADHE_ECOLI	-1.352	0.0
sp|P0A9L3|FKBB_ECOLI	0.08	0.241
sp|P0AC86|PHSG_ECOLI	0.466	1.86e-05
sp|P02930|TOLC_ECOLI	0.248	2.405e-05
sp|P0AC30|FTSX_ECOLI	0.064	0.508
sp|P0A6F9|CH10_ECOLI	0.815	5.91e-11
sp|P76316|DCYD_ECOLI	0.327	0.0004621
sp|P0AES0|GSP_ECOLI	-0.507	0.0008187
sp|P0AB38|LPOB_ECOLI	0.483	0.006
sp|P67087|RSMI_ECOLI	0.107	0.151
sp|P0AFL3|PPIA_ECOLI	0.397	9.514e-06
sp|P08957|T1MK_ECOLI	0.004	0.857
sp|P00582|DPO1_ECOLI	0.202	0.0001631
sp|P37690|ENVC_ECOLI	0.286	0.068
sp|P0ADI7|YECD_ECOLI	0.288	0.146
sp|P0A9I3|GCVR_ECOLI	-0.091	0.536
sp|P04983|RBSA_ECOLI	1.076	7.825e-05
sp|P0AEI6|NUDJ_ECOLI	-0.562	0.01
sp|P0A9Z1|GLNB_ECOLI	-0.027	0.555
sp|P08331|CPDB_ECOLI	1.001	0.0
sp|P07024|USHA_ECOLI	0.301	0.002
sp|P0A9C3|GALM_ECOLI	0.218	0.005
sp|P10346|GLNQ_ECOLI	0.745	6.803e-06
sp|P0A962|ASPG1_ECOLI	0.021	0.755
sp|P27127|RFAB_ECOLI	0.389	0.085
sp|P06986|HIS8_ECOLI	0.014	0.845
sp|P29018|CYDD_ECOLI	-0.076	0.636
sp|P75809|YBJI_ECOLI	-0.281	0.27
sp|P0A9R7|FTSE_ECOLI	0.028	0.556
