protein	log2FC	p-val
sp|P52097|TILS_ECOLI	-0.567	0.099
sp|P0A8H6|YIHI_ECOLI	-0.298	0.019
sp|P0A8U6|METJ_ECOLI	0.121	0.333
sp|P0AGE6|CHRR_ECOLI	0.308	0.007
sp|P0ADN6|YIFL_ECOLI	-0.275	0.111
sp|P05020|PYRC_ECOLI	-0.263	3.49e-05
sp|P09372|GRPE_ECOLI	0.145	0.2
sp|P20966|PTFBC_ECOLI	-0.318	0.058
sp|P11454|ENTF_ECOLI	-0.375	0.016
sp|P0A8V0|RBN_ECOLI	-0.266	0.313
sp|P23893|GSA_ECOLI	-0.257	0.006
sp|P0AG20|RELA_ECOLI	0.034	0.779
sp|P0AB71|ALF_ECOLI	-0.019	0.309
sp|P0A6P5|DER_ECOLI	0.054	0.977
sp|Q46920|QUEF_ECOLI	-0.524	1.029e-05
sp|P0ADS6|YGGE_ECOLI	0.079	0.888
sp|P04825|AMPN_ECOLI	0.048	0.438
sp|P0A858|TPIS_ECOLI	0.361	7.495e-05
sp|P0AE48|YTFP_ECOLI	0.085	0.554
sp|P0ABD5|ACCA_ECOLI	-0.507	7.739e-08
sp|P0A972|CSPE_ECOLI	-0.828	1.921e-10
sp|P0A7P5|RL34_ECOLI	-0.417	0.771
sp|P0A9X9|CSPA_ECOLI	-1.16	2.877e-09
sp|P42620|YQJG_ECOLI	0.444	0.0004475
sp|P0AEE1|DCRB_ECOLI	-0.226	0.024
sp|P64564|YGGT_ECOLI	-0.279	0.145
sp|P28249|ASMA_ECOLI	0.331	0.005
sp|P38521|YGGL_ECOLI	-0.491	0.028
sp|P30750|METN_ECOLI	-0.079	0.597
sp|P09147|GALE_ECOLI	0.135	0.221
sp|P36979|RLMN_ECOLI	-0.33	0.0002894
sp|P00509|AAT_ECOLI	0.156	0.01
sp|P0AES2|GUDD_ECOLI	0.564	0.199
sp|P39401|OPGB_ECOLI	-0.66	2.694e-08
sp|P0AFM6|PSPA_ECOLI	0.741	3.557e-10
sp|P0AC47|FRDB_ECOLI	-0.916	3.979e-11
sp|P0A6C5|ARGA_ECOLI	-0.041	0.764
sp|P0C8J6|GATY_ECOLI	0.61	4.441e-16
sp|P0A998|FTNA_ECOLI	-0.213	0.093
sp|P0AFI2|PARC_ECOLI	0.128	0.541
sp|P0A7G6|RECA_ECOLI	-0.429	0.000879
sp|P76128|DDPA_ECOLI	-0.661	6.376e-09
sp|P0AC33|FUMA_ECOLI	0.604	0.0
sp|P16703|CYSM_ECOLI	0.076	0.394
sp|P0A7M2|RL28_ECOLI	-0.119	0.128
sp|P35340|AHPF_ECOLI	0.439	2.779e-11
sp|P0AG44|RL17_ECOLI	-0.215	0.022
sp|P75682|YAGE_ECOLI	-0.209	0.182
sp|P06988|HISX_ECOLI	-0.272	0.0007802
sp|P10121|FTSY_ECOLI	-0.091	0.211
sp|P0A9P6|DEAD_ECOLI	-0.389	3.055e-06
sp|P0A6F1|CARA_ECOLI	-0.13	0.086
sp|P06960|OTC2_ECOLI	-0.304	0.166
sp|P63177|RLMB_ECOLI	-0.298	0.012
sp|P0C0R7|RLME_ECOLI	0.052	0.933
sp|P77674|ABDH_ECOLI	-1.815	0.0
sp|P77791|MAA_ECOLI	-0.337	0.076
sp|P0AG90|SECD_ECOLI	-0.004	0.865
sp|P36929|RSMB_ECOLI	-0.27	0.191
sp|P0ABJ9|CYDA_ECOLI	0.769	1.316e-09
sp|P0AEN8|FUCM_ECOLI	-0.061	0.975
sp|P30126|LEUD_ECOLI	0.63	1.159e-07
sp|P78067|YNJE_ECOLI	0.544	0.043
sp|P0AC62|GLRX3_ECOLI	-0.171	0.215
sp|P0AF90|RRAB_ECOLI	0.427	0.287
sp|P39286|RSGA_ECOLI	-0.072	0.667
sp|P23538|PPSA_ECOLI	0.244	2.266e-05
sp|P0C066|MLTC_ECOLI	0.403	0.133
sp|P76342|MSRP_ECOLI	-0.049	0.722
sp|P0AFT2|YECS_ECOLI	0.226	0.44
sp|P03004|DNAA_ECOLI	-0.078	0.634
sp|P52119|RATB_ECOLI	-0.223	0.486
sp|P26365|AMIB_ECOLI	0.078	0.825
sp|P46889|FTSK_ECOLI	-0.116	0.318
sp|P0A759|NAGB_ECOLI	0.316	0.031
sp|P46837|YHGF_ECOLI	-0.321	8.525e-05
sp|P33136|OPGG_ECOLI	-0.267	6.937e-05
sp|P0A8F0|UPP_ECOLI	-0.698	3.109e-15
sp|P37177|PT1P_ECOLI	0.495	0.0002214
sp|P76027|OPPD_ECOLI	-1.356	5.183e-05
