protein	z-value
ubiG	2.930685579388834
rraA	6.033311012248992
frmB	-4.269033760884271
rpsE	-3.561493949040563
rluD	-1.7310576083401643
yceB	0.3721526420347131
ydhQ	-6.433019270000755
yhjJ	2.465212673399472
metJ	5.423873196634506
rlmM	2.4027170390992056
frr	-0.6521734780473536
ppiC	-5.057032988714598
tsaE	4.105118297522446
nagZ	1.7044082017327966
mog	-7.054539252742387
ydiU	2.1277702191051544
rho	-0.6677515432046557
cydC	2.5558736643350786
ybiB	6.2589598495165815
sufS	5.314245753007648
lpxC	3.6842235152203777
nmpC	-2.1001278640275465
qorB	1.2839935642420621
murQ	-7.054539252742387
rph	-4.907604366952948
holB	1.6022997561865469
gcvR	4.709528384241991
era	1.416019828042629
stpA	7.054539252742387
roxA	3.830926727093575
pdxY	-6.227807512150831
hflX	4.107698361429751
yeiG	1.0037041249630108
yebO	4.60417064012562
malQ	0.5738361374258879
apaH	2.5582317334428573
rpmH	-2.5024889642618664
tufB	-0.635045750489557
lacI	2.059447932927441
glgA	4.598480065152697
ilvI	6.1094102048693975
ydcL	6.6347562023367335
fumA	-7.054539252742387
yajC	-0.4419031230675741
ytfB	3.199034509221014
pgl	2.3695521488181024
rsmA	-1.2504261952142242
proX	-3.9868722626125708
kdsD	1.1089552476503595
wecC	-4.781412260171457
hisP	5.086256536221526
groS	-5.93233707596702
ynhG	7.054539252742387
aspA	-7.054539252742387
gltD	7.054539252742387
tmk	-0.4758916873901896
secE	-1.9105337540078495
yfiF	3.2070300691553197
coaD	2.952535961852503
ydgA	-2.4561483092647607
deoB	-6.352990730011379
ycjF	-1.713121563687855
relB	-0.12045944622297342
rlmN	-6.744078387145875
yahO	5.427056120573699
kdsA	2.0119477815590656
rpmB	-3.2922166154010655
tonB	2.667368293827313
puuR	1.1896768868247107
yhaJ	0.10129067372357498
ilvD	7.054539252742387
katG	3.6462304023725065
kbp	7.054539252742387
fldA	1.657134570037047
maa	-5.578700628240443
metR	4.931597118244481
yidC	-6.423260348682707
yjgA	-3.2905745330341354
rpsN	-2.772682566542237
rplK	-3.1064909646474756
rof	2.368846570016723
rsxG	3.4815140739038792
gcd	1.1727424527981738
lpxB	-2.751517170971293
leuA	6.739975469081919
yedF	-2.410142509526817
uvrB	5.536175400081777
carB	7.054539252742387
rplT	-5.760093090668615
yafJ	5.689156810062623
ydbK	-3.8201136112996066
gshA	4.039345810683488
yecD	2.7378641636632035
rpsQ	-5.45209765735859
yaiL	-3.0613806957011604
leuD	7.054539252742387
dusA	-0.5663930063991588
fkpB	-1.472386588073923
bamA	3.334144208247505
fumC	-7.054539252742387
ispH	-5.730713124107622
pflB	-0.8543530618070998
rep	-1.748203932142673
copA	6.544388952382446
folE	7.054539252742387
lapA	-0.11522600066643626
rihA	-7.054539252742387
ygfZ	-0.23270031075875502
bolA	-0.24563668238070732
rpoD	-4.062391638246233
anmK	0.1241819165228894
mrcB	1.066319598729348
lrhA	-1.6311062348346366
nemA	-0.34371366400519165
nuoI	-7.054539252742387
gloA	0.10819339783020666
puuE	4.245198493068429
ycbX	4.175030231297293
mraZ	1.6506072129006915
gpmI	7.054539252742387
ptsP	1.5771901730475
ispB	1.8909472456143983
lipA	-7.054539252742387
yaeH	3.0299727337939584
uxaC	-6.852314761973745
pdxJ	1.0205977571238665
rpsL	-6.547119455309981
rpsC	-7.054539252742387
cysQ	3.92513566661915
yjdM	-2.3340029175366013
fadL	-7.054539252742387
iaaA	3.857788407546003
infC	-0.6138626712220134
glk	1.1176066545309236
ftsE	0.15950981063629785
cyoA	-6.56054724256161
csdA	1.491029743638992
dxr	-2.5185475179450254
fur	0.8935051795991258
phoU	-0.4689504389086793
miaB	-1.9912852467858861
potG	4.004799899441708
dnaQ	1.6107547464139327
msbA	-5.084293386351677
ygiB	-2.1717339340039827
yfcZ	-5.397050244395022
rbn	0.15964472887169306
yibL	2.0021885767194023
sufB	7.054539252742387
mdtA	4.026246324029836
sufA	1.733538503841795
hupA	0.8340596817308565
emtA	2.3246945691024594
ade	-6.009273566403159
yqcA	0.29582885217149424
glmU	-2.7639761442420645
yggW	-1.639525411808365
ghxP	-0.12060993411930719
gatD	-7.054539252742387
tsaB	-0.9901700556344122
hinT	2.854739022327776
ybhL	-0.519862792072898
fabG	-2.7883948273724557
ymjA	5.088932555084171
tyrS	3.757222385691129
yafC	-1.4574217385976507
gshB	2.7304808418981033
pepA	3.959154357777221
moaC	6.0943021665744626
bioB	-4.024815508318345
dtd	0.20391294741228572
sodA	1.5674702387190609
dacC	7.054539252742387
yceA	1.3490589615419961
fadI	-5.28753386176033
nusB	-1.3017526490602713
mutS	-6.957103554652146
deoR	1.2055267959725182
yciK	6.3100890418295235
ubiJ	-1.6644223203307185
aroK	0.2125541912899657
glpD	-5.240693916451534
gppA	-1.1891777579886083
dnaE	-1.262774305218612
btuE	5.427056120573699
hisD	3.1259602400625246
ydcY	3.864237929330762
selB	2.4885483030843636
rnc	1.5306041740391303
ptsI	7.054539252742387
yfiH	1.8946344156967454
murC	5.667590183461798
dadX	-7.054539252742387
lysC	7.054539252742387
aroA	7.054539252742387
pqiB	-3.0532058345901842
groL	-7.054539252742387
ispE	0.6538390449052481
narP	-7.054539252742387
rlmG	-3.5631465349296283
cirA	0.0
sohB	6.911367380883498
pfkA	5.748304126002986
proP	5.035339787947794
obgE	-4.3563829640239975
yafK	6.1094102048693975
alsB	-7.054539252742387
yceM	1.2758741791491297
ibpA	-7.054539252742387
hscA	0.00590200752123396
iscR	3.304804751366512
hldD	1.5577147169699277
accD	-2.548570142115267
mazG	1.2793991270212024
truD	1.5179818937690694
yaeP	2.588690712021203
msrC	6.057022702525228
thrS	-1.6020262494029003
prc	7.054539252742387
glpX	-5.817945696595585
pitA	0.1411731476064519
yfaY	-0.26004220702840747
gatC	-7.054539252742387
secD	-6.33311761167969
prkB	1.0715451460690946
menI	5.564062519687957
rpsR	-3.0850092092515857
rhlB	-0.051331463268339
matP	0.10477859966581604
yqjH	3.6653349552657906
ruvA	-1.451291606788808
upp	7.054539252742387
murG	-0.5514068440119503
clpB	-2.108567946566272
yihD	3.8285561606539753
potD	1.4461182327564586
hemX	-0.2738467844200042
queC	-0.8874092885503556
nudE	3.8996670270150737
ulaR	-0.46350839335693644
yehS	-6.144109044082295
nlpI	2.4835106426464733
cysC	6.79339267123236
btuR	4.121413762233394
zipA	2.7325422483830337
ribA	2.1765487862491653
argC	4.723342188283446
nudK	1.5733344042803208
ybeZ	0.8863684585966863
cueO	5.240693916451534
waaA	-2.006348555153839
ybaY	4.491577715584217
metF	5.8532357441072635
minE	-1.2354029586509288
plsX	1.510153205406395
typA	6.633589812642162
hisJ	7.054539252742387
hslO	-5.899918516124757
yciF	6.1094102048693975
mrdA	-4.9695484549500994
atpF	-1.134609137848738
metC	7.054539252742387
efp	-1.1753393376003667
alaA	-1.9408373038102837
djlA	-3.5204281959801698
fabF	-6.804583017902642
ftsP	0.7685992699236811
nusG	-0.4700867911053166
btuB	2.989919945381926
uspD	2.824508371797453
gabT	-3.886330453491816
ybiT	0.5157032074503296
pncC	-2.3442793266559554
selD	-0.8358594328690834
chrR	1.9111606763779132
mepS	6.1094102048693975
dadA	-7.054539252742387
dxs	-4.302450827150567
sseB	-0.6609723264676071
ompR	-3.5907390241896975
deoC	-1.6274831321686887
yqgF	0.4724543584135774
uvrC	2.2046240053219486
yhcB	2.816751893997404
ansA	2.0405771858663955
rsmE	2.91403953496544
smpB	0.13005420835980563
pckA	-7.054539252742387
astC	-7.054539252742387
ppiB	1.1501510578467555
nagE	-7.054539252742387
cydB	2.7548218305889476
rpsT	-0.6197229545095109
yfcG	-1.2497938983895025
ytfP	1.8727726417557062
tolA	0.400906787391175
fkpA	-0.6728097675387114
hemH	-2.860177936880382
mnmE	1.4767194449729768
truB	-4.938081986797797
ahpC	3.604299440468029
rsxC	0.003115474902246438
trmJ	-3.081888495759285
acrA	2.481665804530941
xynR	0.5753942704768287
pepQ	0.11728212274496945
aspC	7.054539252742387
ygiF	2.5773789777192913
chbB	-2.7427562463816666
eda	0.7578253009311053
argE	7.054539252742387
yncD	-2.5304877650706716
prlC	-3.97840030892875
yqjD	6.02611285740429
yebY	4.797455061724247
hemL	4.414790871429827
ydjN	6.125768178209255
ubiK	1.4788900683017392
xseB	2.076379266351129
sufD	6.125460505699568
dapA	4.995297474219377
nlpA	7.009526038976049
ribB	-6.481582753120181
cydA	-4.048101379085115
macA	0.9897905271101867
bioD1	1.3346222867001933
dgt	2.0694914296231053
nusA	-3.188481158069404
yncE	2.805108115329709
rplL	-1.957541220969609
trpB	7.054539252742387
ygdG	-1.5486028951041049
yiiS	2.655685679013027
bfr	2.8354380881544774
trkA	-2.4483009782466727
nuoB	-7.054539252742387
yciW	4.731378751429923
glgC	5.555068473190697
rplS	-5.226029143306283
slyB	4.648898040377505
artI	-3.0392940245074245
raiA	-5.7994210305960365
yhdE	0.8477393955319379
pspB	4.455847624738431
yqjE	0.13450911988453296
yegD	0.08264076447369618
csqR	-6.841888523569414
speE	4.736009534687357
ilvA	7.054539252742387
cysM	5.311416080195659
fmt	-3.8739014210985365
fdhE	-4.500070632270618
ompT	3.0920924835426833
loiP	-3.835543440123266
solA	7.054539252742387
ridA	-4.7075421628536285
rob	2.213562043535774
rstB	-4.597934542990771
tpx	3.2819349848940758
folK	-0.3086904381016404
tatE	5.2897815735472395
ddpA	-1.5023761199558539
sodB	-1.482177778191654
yecM	4.625107418726585
uvrY	-2.0092611203514488
argT	7.054539252742387
ybfF	3.748764932962733
degP	7.054539252742387
hisI	4.344355157963536
folC	0.3866832506398373
trxA	3.0257360268110145
ldhA	-2.768706696293109
glnQ	2.4331058841862125
lpoA	-0.38968283989582914
yqjK	-1.398376620797495
yebT	1.0147632806968583
minC	3.4975707439048054
nadA	-6.1094102048693975
rraB	2.1277345479849243
lpoB	1.7043638285332243
engB	1.5179575955568747
putA	-7.054539252742387
trxB	4.812573590659578
dacA	3.0977579524235384
nadD	0.2746374279652697
nagB	-2.9756936891816648
narL	2.603130874757221
pdhR	1.4234123421800426
yedD	0.3813827890422031
gph	1.4597333322037973
lptB	2.2839367822373653
yecC	6.5296350173697615
katE	7.054539252742387
aceF	-0.7543997090127198
rna	2.3065199724268766
yciC	2.4323790585844463
ybfE	-1.1657972994552666
pheT	6.67868779613039
ydhF	0.041615784412726
pepE	-6.031898428676445
mqo	4.149696889560404
yjjA	-1.399297871005337
rimL	2.9090976790184158
ftsI	-3.3172554533350693
ihfA	6.868483113092273
ugpQ	-1.1729889713245356
ygiW	-0.42716104793824267
nlpE	-2.716905703903195
metAS	6.1094102048693975
yqaB	-1.1000514249603146
cpdB	-7.054539252742387
pspA	6.994322593964015
glmS	3.047518503061958
glgP	4.86518385271431
sppA	0.5725137179643619
ybhC	5.952737088292195
rbsA	-3.051123664614979
dcm	0.9399035719174313
ybiU	3.065268029958643
smrA	-0.5201227220025503
cspA	1.3500864807694626
efeO	0.0
ddlB	2.8730669620865723
xerC	-3.29985661264125
gnsB	1.3698310660901887
mdoB	-3.814979889918902
fklB	-0.854586832267793
fliY	7.054539252742387
rpsK	-2.4656511940211305
insH5	-4.780019073378774
rplW	-2.9349901129665454
wrbA	7.054539252742387
purE	7.054539252742387
gpsA	-5.61794438774958
glf	-2.8422876465310467
nanA	-7.054539252742387
dsbG	1.5025238898918285
purH	7.054539252742387
mlaF	-1.1203909942322663
hxpA	3.520503624748555
yfcL	-0.47070056452024356
hexR	-7.054539252742387
rnhA	-1.0107590745039685
rlmL	-5.591222627834134
hsdM	-0.7155713006102966
dcrB	-2.24607256035588
purF	6.654601256915628
purA	3.380252285462954
fabD	-3.29985661264125
acrB	-6.1920145203027515
rlmA	1.3885567694906864
ycfH	0.9809479719532788
serC	7.054539252742387
cysE	1.312114903771671
purC	6.639878508738038
cspD	-6.407018331638677
manX	6.930262498997329
lldD	-6.0616720040964704
mak	-1.3885269671179237
argP	6.695921105485349
yqhD	0.0
pyrD	7.054539252742387
ilvB	4.514353131829845
ackA	-2.79064332558735
coaA	-4.80257747617126
gltX	0.3560218167760537
nuoA	-5.880692488258572
yedE	-0.5464438508700064
dmsD	3.1247913217870775
gss	7.054539252742387
pntA	7.054539252742387
glyA	7.054539252742387
cobB	2.193424340710789
rimP	-0.13926059897253543
proC	2.0578010681801198
deoD	-7.054539252742387
yebG	-4.19030759675284
rfaQ	-6.372568095070243
pssA	-2.262876362784797
rpmC	-0.5611841519405527
fepA	5.9360654792513525
gadA	-0.01587611586634194
rdgB	-1.0577926431664575
bamE	2.6120541412292777
yggX	7.054539252742387
mlc	-1.7439876642491756
rplQ	-3.613210784282845
corA	0.7688816244086654
nanE	-7.054539252742387
gatY	-5.558110577581975
tsx	-2.184152055065
ribC	0.34856732117179157
seqA	-0.5073466162390329
bglA	1.2246323967477035
rne	-1.8759742470152263
pcnB	-2.6066406342285227
fepB	0.08281329193188118
queA	-0.2947226102754181
dksA	-5.074387693218939
ybhB	2.321424241112008
wzzB	3.834856842889784
adhE	7.054539252742387
lapB	-1.2488039153993897
parE	-4.8359305122697425
yifK	0.441028882518272
yccJ	6.31135469652475
lpdA	-4.534272981372347
ygiM	6.9405021401305325
rsxB	-1.3371824467879982
yidB	-0.4012408887263896
rpsP	-1.407594406827002
fhuA	3.2828167959207537
yejL	1.2592482365149844
uspF	-2.4728605922419957
serA	7.054539252742387
rpmG	-1.6321527816695272
yihI	-0.3786409304067223
malK	-7.054539252742387
ycfP	3.9182319712291576
ppx	-2.600342383518454
ppsA	-6.470684392584025
gutQ	-1.0418944401219725
pxpB	3.4097626823925236
eutD	0.8270904080451208
aceE	-0.5060079864397695
pcm	2.323190636871702
blc	-0.32216965489394966
ppnN	-6.198218902551386
galF	5.903196546643767
malE	-7.054539252742387
frdB	-6.964512825209711
speD	6.301550813930793
atpE	-0.9968997447289502
yibN	-2.2050731210496286
