Q2EEP9	yafF
tmk	tmk
P58384	tus
ycfC	hflD
P05852	tsaD
cls	clsA
Q8X8X7	lpxB
Q2EEQ8	ybfQ
yceD	yceD
Q8X8X5	dnaE
yceF	yceF
yceH	yceH
yceI	yceI
Q47083	cbl
ytfL	ytfL
Q2EEQ3	yahH
ytfM	tamA
Q2EEQ2	ykgO
ytfN	tamB
ytfP	ytfP
ytfQ	ytfQ
yceA	yceA
yceB	yceB
P0C093	slmA
cmk	cmk
P05824	recN
Q2EES1	yniD
Q2EES0	ynfO
P05825	fepA
ychN	ychN
P05827	ilvY
P69055	sdhC
P69054	sdhC
P17802	mutY
Q2EER5	ymjC
Q8X988	zapD
Q2EET0	ypdJ
Q2EET2	ypfN
ycgM	ycgM
Q9XCW3	vioB
ycgR	ycgR
Q8X8V5	yeeN
Q9XCW4	vioA
ycgK	pliG
ycgL	ycgL
Q2EES3	yoeF
Q8FEE5	rlmM
Q8X8V9	metQ
Q2EES6	yohO
tpx	tpx
Q2EES9	torI
P30844	basS
P30843	basR
P30845	eptA
Q2EEU2	yjhX
P30847	baeS
EcolC1400	EcolC1400
P71311	yaiS
ycjR	ycjR
ycjS	ycjS
P60651	speB
ycjF	ycjF
yciW	yciW
B7LSH5	
B7LSH9	prfA
trg	trg
yciO	yciO
P71301	ecpR
yciS	lapA
yciT	yciT
yciI	yciI
yciK	yciK
yciM	lapB
yciN	yciN
P60664	hisF
yciA	yciA
yciC	yciC
B7NHM5	ycjF
Q6BF16	dgoA
Q6BF17	dgoD
yciF	yciF
tsf	tsf
P58357	torR
tsr	tsr
P17846	cysI
tsx	tsx
crl	crl
Q8FEJ4	ftsB
crp	crp
crr	crr
P16528	iclR
REV__P08716	
P16525	tus
P17854	cysH
ccmE	ccmE
Q8FEI7	cysJ
P61949	fldA
B7LSC6	glpG
Q47129	feaR
P09373	pflB
P0C037	ppnP
P09372	grpE
P09377	rhaS
P22333	add
P09378	rhaR
B7LSC7	glpE
P36979	rlmN
P76197	ydiM
P76198	ydiN
P10371	hisA
pitA	pitA
Q8FFA3	hemF
P61951	fldA
Q8FFA1	eutC
P60624	rplX
P58319	ltaE
P12999	bioC
anmK	anmK
P12996	bioB
P11664	yggC
P12995	bioA
P11667	argO
P12998	bioF
Q47149	yafQ
P12994	ybhB
P11663	fumE
Q47147	yafJ
Q47157	yafO
Q47156	yafN
Q47155	dinB
P0C018	rplR
Q47154	lafU
Q47153	lfhA
Q47152	rayT
Q47151	yafL
Q47150	dinJ
P60632	yohJ
Q1RB92	ppsR
P10346	glnQ
Q47138	ydfE
Q47146	fadE
Q47142	hcaT
Q47141	hcaR
Q47140	hcaF
B7LSB7	nfuA
P76168	intQ
P77499	sufC
P76169	ynfA
P76164	ydfW
P77495	prpE
P76165	ydfX
hsdM	hsdM
P05804	uidA
