protein	log2FC	p-val
Q8FJQ3	-2.074	0.0
B7NMJ5	1.424	1.441e-05
P52108	-0.599	0.217
Q1R324	0.157	0.273
P30011	-0.031	0.951
P24178	0.844	0.0003281
B7LK93	2.193	2.654e-10
B7LM45	-0.29	0.193
P0A9C7	-0.12	0.249
P16700	0.2	0.031
P39285	0.265	0.499
Q8XCX2	-0.213	0.008
P0ABU5	0.34	0.003
P0AF00	1.268	2.45e-06
B7LLH1	-0.172	0.078
P69229	0.488	0.0008125
Q8FL94	-0.184	0.598
Q1R3B6	0.34	0.003
Q0TIU8	-0.295	0.089
P0A992	1.008	0.0005132
P0AB10	0.604	0.039
A7ZM66	0.593	0.186
P0ACM3	-0.503	0.012
Q1R4L0	0.504	0.105
B7LS47	-0.496	0.002
P0A8T8	-0.029	0.615
P0AAY0	-0.189	0.621
P0ADG0	-0.615	0.086
Q1RF98	0.726	0.0008546
Q8XE74	-0.053	0.679
B7NUX4	-0.857	1.0
P23839	0.286	0.139
P24228	0.058	0.865
Q1RAT6	-0.037	0.832
P75849	0.346	0.127
Q1R637	-0.05	0.307
A7ZQ54	0.168	0.257
P06282	0.385	0.114
P09030	0.378	0.039
P0ABC8	0.22	0.057
P76008	-0.114	0.543
P0AF68	-0.066	0.249
P13009	-0.654	0.0
P0AEE4	0.468	0.03
P0AG29	0.07	0.721
P58578	0.18	0.259
P0A9P5	-0.2	0.078
P0ABV8	-0.46	0.224
P0AEZ1	-0.183	0.166
P0AFG5	0.022	0.778
Q8XD48	-0.062	0.736
P09323	0.919	0.006
P21599	-0.042	0.361
B7LKT5	0.884	7.914e-05
P65765	0.563	2.687e-06
P37760	-0.05	1.0
P0A6S1	-0.395	0.041
P00393	-0.069	0.725
P0ADF7	-0.064	0.736
P0AFY9	0.35	0.379
P29217	1.32	4.752e-14
P08331	0.275	0.154
P0AGE2	0.787	0.0002766
P28861	-0.043	0.854
P09148	0.385	0.133
P0AGG9	-0.12	0.484
P08142	0.084	0.313
P0AEY7	0.592	0.037
P25539	0.324	0.254
Q1RE30	-0.197	0.218
P23883	0.021	0.801
P64605	0.528	0.123
B1IQ63	-0.271	0.227
P00509	-0.058	0.36
P76422	-0.115	0.489
B7LMQ3	1.836	5.336e-06
P76149	-0.081	0.869
Q8FCB6	4.434	1.106e-11
P0A9U5	-0.109	0.189
Q8XE68	-0.023	0.998
P37349	-0.084	0.615
P07014	0.19	0.203
P0AEK2	0.057	0.679
Q8X826	0.19	0.408
B7LS46	-0.005	0.642
B7LVK1	0.608	0.003
P09996	0.21	0.863
Q8X5U9	0.063	0.943
B7LS49	0.388	0.197
P27431	0.506	0.015
P22731	0.09	0.74
P0AB82	-0.39	0.0002583
P0A949	0.282	0.717
Q8XCV1	0.261	0.198
B1IWD8	0.027	0.923
P45568	0.132	0.916
P0CK95	0.111	0.982
P42596	-0.424	0.129
Q8XCX9	-0.092	0.513
B7LK81	0.206	0.65
P21829	-1.092	0.0005307
Q1R7U7	0.445	0.075
P64541	-0.251	0.315
Q1RG25	1.754	6.954e-13
P00561	-0.291	0.0009282
Q1R6R1	-0.059	0.876
P0AG09	0.26	0.137
P13036	0.727	1.197e-08
P0AC34	-0.128	0.12
P0ABU3	-0.299	0.088
P0AEA9	0.189	0.422
P0AB56	1.045	6.522e-05
P0AFR5	0.977	7.159e-08
B1IW64	-0.037	0.674
P31134	-0.29	0.147
P0AFK1	-0.09	0.414
P75736	0.099	0.702
P0ACQ6	-0.505	0.0007621
Q8XDE7	0.067	0.897
P0AC61	0.733	0.0003361
P39337	-0.092	0.45
P0AFJ6	0.389	0.161
P0A9C3	-0.253	0.065
P0AEB8	0.327	0.255
B6I5M1	-0.58	0.0009642
B7LVQ1	-1.648	8.968e-11
B7LPB9	-0.24	0.27
Q0TA96	0.362	0.035
P0AEU2	0.808	1.786e-12
P23930	-0.039	0.958
P0A9R9	-0.46	0.075
P75915	0.217	0.569
P22524	0.115	0.543
Q1R6A3	0.837	7.55e-15
P0AA45	-0.08	0.883
B7LK49	-0.257	0.067
P0A744	1.458	2.413e-07
P0ACP3	0.396	0.087
Q46769	0.198	0.26
P25524	-0.329	0.027
B1LJ30	-0.439	0.039
B7LVJ7	-1.577	1.634e-05
P0ADX3	-0.023	0.962
B1IZT7	0.145	0.561
P25535	-0.233	0.488
B7LR52	-1.577	5.854e-06
B7LUW4	-1.134	1.96e-07
B7LJR2	-0.59	0.093
P0ADG8	-0.474	9.543e-06
B1IYW7	-0.038	0.646
P0ACE8	0.651	0.054
P29018	-0.182	0.407
Q8FB69	-0.074	0.945
Q8X9Y6	-0.021	0.745
Q1R6E7	-0.331	0.036
P0A9M8	0.335	0.038
P0ADE7	3.744	6.6e-08
P11875	-0.148	0.173
P0A9J9	-0.125	0.516
P75782	-0.177	0.292
P0AFZ1	-0.251	0.409
P0AB69	-0.233	0.228
P37330	2.373	0.0
P38521	0.124	0.742
Q8FJK5	-1.232	1.439e-07
P63624	-0.273	0.034
Q8FE27	0.39	0.22
P0A9Y8	-1.663	1.585e-07
B7LNS3	1.041	9.886e-08
Q0TC30	0.896	8.482e-07
P0ACB9	0.287	0.146
P0DP90	-0.683	1.133e-08
P64613	-0.207	0.642
Q0TEV5	-0.82	1.332e-15
P0AC77	-0.062	0.906
P77739	4.543	7.105e-15
P21513	0.131	0.201
P07395	-0.157	0.067
P0AG82	0.432	0.012
P37659	-0.573	0.005
Q0TJ25	-0.11	0.166
P09127	0.523	0.002
P0AAV5	0.056	0.969
P0AG95	-0.211	0.334
P0AEW8	-0.646	0.0009089
P0ADZ9	-0.182	0.236
Q1RG12	0.058	0.497
B7LVC6	-0.221	0.133
B1IQV0	-0.276	0.003
Q8XCB3	0.046	0.674
B7M7R5	-0.128	0.109
B7LR34	0.592	0.136
Q0TKQ3	-0.148	0.764
P15877	0.645	4.771e-06
P0AGF1	-0.276	0.093
B7LKB2	0.549	0.08
P00935	-0.103	0.107
P0A9Q3	1.066	3.015e-09
