protein	log2FC	p-val
sp|P24215|UXUA_ECOLI	-0.185	0.045
sp|P75864|RLMKL_ECOLI	-0.277	0.234
sp|P0A9K7|PHOU_ECOLI	0.181	0.329
sp|P0A7G2|RBFA_ECOLI	0.016	0.747
sp|P04816|LIVK_ECOLI	0.25	0.014
sp|P64530|RCNR_ECOLI	0.202	0.404
sp|P0A761|NANE_ECOLI	-0.538	0.183
sp|P39173|YEAD_ECOLI	0.196	0.062
sp|P0A8N3|SYK1_ECOLI	-0.099	0.319
sp|P0ADI7|YECD_ECOLI	0.212	0.631
sp|Q47690|MMUM_ECOLI	-0.247	0.149
sp|P00803|LEP_ECOLI	-0.057	0.065
sp|P69786|PTGCB_ECOLI	-0.091	0.894
sp|P0A9K9|SLYD_ECOLI	1.585	8.384e-11
sp|P25397|TEHB_ECOLI	-0.257	0.347
sp|P63177|RLMB_ECOLI	-0.106	0.618
sp|P76055|TTCA_ECOLI	0.435	0.101
sp|P0A8W0|NANR_ECOLI	-0.354	0.791
sp|P11557|DAMX_ECOLI	-0.445	0.0007081
sp|P00960|SYGA_ECOLI	-0.118	0.374
sp|P0AB55|YCII_ECOLI	0.185	0.738
sp|P37146|RIR4_ECOLI	-1.199	0.002
sp|P07913|TDH_ECOLI	-1.041	0.001
sp|P67095|YFCE_ECOLI	-0.893	0.0004439
sp|P75797|GSIB_ECOLI	0.378	0.007
sp|P75838|YCAO_ECOLI	1.819	6.972e-14
sp|P60390|RSMH_ECOLI	-0.388	0.013
sp|P0AGG0|THIL_ECOLI	-0.319	0.063
sp|P10902|NADB_ECOLI	0.023	0.235
sp|P07604|TYRR_ECOLI	-0.714	6.392e-06
sp|P0AFF6|NUSA_ECOLI	0.517	4.393e-07
sp|P63389|YHES_ECOLI	-0.459	0.021
sp|P31455|YIDR_ECOLI	-0.489	0.03
sp|P76550|YFFS_ECOLI	-0.124	0.688
sp|P0A7F3|PYRI_ECOLI	0.512	0.002
sp|P0ABJ9|CYDA_ECOLI	-0.763	0.0003259
sp|P13029|KATG_ECOLI	-0.798	0.0
sp|P0AG00|WZZE_ECOLI	-0.072	0.849
sp|P77791|MAA_ECOLI	0.667	0.066
sp|P76193|YNHG_ECOLI	0.108	0.324
sp|P0A6S7|GPDA_ECOLI	-0.286	0.111
sp|P61714|RISB_ECOLI	1.196	2.929e-07
sp|P15038|HELD_ECOLI	0.744	0.003
sp|P40191|PDXK_ECOLI	-0.716	0.002
sp|P06149|DLD_ECOLI	0.117	0.073
sp|P25742|RFAQ_ECOLI	-0.253	0.831
sp|P75818|YBJP_ECOLI	-0.732	0.0001056
sp|P0ABS8|HOLE_ECOLI	-0.103	0.938
sp|P05055|PNP_ECOLI	0.44	1.425e-06
sp|P0AGE6|CHRR_ECOLI	-0.579	0.026
sp|P0A7B1|PPK1_ECOLI	-1.389	0.0
sp|P0AGD1|SODC_ECOLI	0.665	0.000344
sp|P17443|MURG_ECOLI	-1.051	3.219e-06
sp|P0ACP7|PURR_ECOLI	-0.144	0.097
sp|P0AG78|SUBI_ECOLI	0.771	8.349e-10
sp|P33136|OPGG_ECOLI	-0.164	0.32
sp|P09831|GLTB_ECOLI	0.035	0.087
sp|P0AD10|YECJ_ECOLI	0.727	0.000688
sp|P76149|SAD_ECOLI	-0.617	0.093
sp|P32662|GPH_ECOLI	0.093	0.14
sp|P31120|GLMM_ECOLI	-0.296	0.026
sp|P0A9P0|DLDH_ECOLI	0.095	0.011
sp|P0ADX7|YHHA_ECOLI	-1.184	0.0001566
sp|P37745|RMLC_ECOLI	0.998	7.42e-05
sp|P31979|NUOF_ECOLI	0.706	7.776e-06
sp|P40120|OPGD_ECOLI	-0.252	0.162
sp|P0ADS9|YGGN_ECOLI	-0.093	0.83
sp|P0A9T6|YBAQ_ECOLI	-0.073	0.457
sp|P00962|SYQ_ECOLI	-0.137	0.227
sp|P0AA39|RLUC_ECOLI	0.067	0.575
sp|P0ACK2|AGAR_ECOLI	-0.692	0.045
sp|P09099|XYLB_ECOLI	-0.888	0.011
sp|P0ABB0|ATPA_ECOLI	0.246	0.001
sp|P52697|6PGL_ECOLI	-0.428	0.056
sp|P0A7K6|RL19_ECOLI	-0.214	0.031
sp|P0A6C5|ARGA_ECOLI	0.424	0.0001834
sp|P77285|RSXG_ECOLI	-0.133	0.509
sp|P77808|CINAL_ECOLI	0.485	0.212
sp|P0AG80|UGPB_ECOLI	-0.882	2.114e-09
sp|P0A6H1|CLPX_ECOLI	0.011	0.552
sp|P0AGB6|RPOE_ECOLI	-0.317	0.113
sp|P08660|AK3_ECOLI	0.352	1.613e-05
sp|P0AF08|APBC_ECOLI	-0.088	0.607
sp|P0AFI7|PDXH_ECOLI	-0.539	0.037
sp|P0A6P9|ENO_ECOLI	0.171	0.024
sp|P0ABA0|ATPF_ECOLI	0.272	0.114
sp|P39315|QOR2_ECOLI	-0.065	0.572
sp|P30748|MOAD_ECOLI	-0.272	0.535
sp|P0AC59|GLRX2_ECOLI	0.239	0.459
sp|P0A9B2|G3P1_ECOLI	-0.283	0.017
sp|P32131|HEMN_ECOLI	0.171	0.516
sp|P0AC19|FOLX_ECOLI	-0.376	0.052
sp|P60438|RL3_ECOLI	0.156	0.127
sp|P00956|SYI_ECOLI	-0.329	1.731e-06
sp|P07001|PNTA_ECOLI	-0.259	0.028
sp|P68767|AMPA_ECOLI	-0.193	0.202
sp|P0A901|BLC_ECOLI	0.509	0.058
sp|P46837|YHGF_ECOLI	-0.819	0.0
sp|P0ACY9|YEBG_ECOLI	0.365	0.215
sp|P02931|OMPF_ECOLI	1.603	0.0
sp|P77395|CNOX_ECOLI	-0.131	0.234
sp|P0A6G7|CLPP_ECOLI	0.054	0.672
sp|P30871|3PASE_ECOLI	-0.556	0.0009588
