protein	log2FC	p-val
sp|Q46948|YAJL_ECOLI	0.023	0.76
sp|P63284|CLPB_ECOLI	0.4	1.776e-15
sp|P0AAZ7|YCAR_ECOLI	-0.138	0.601
sp|P0ACK5|DEOR_ECOLI	-0.003	0.998
sp|P41407|AZOR_ECOLI	-1.009	1.066e-14
sp|P26612|AMY2_ECOLI	0.112	0.336
sp|P76621|GLAH_ECOLI	-0.952	3.64e-07
sp|P28903|NRDD_ECOLI	-0.069	0.626
sp|P09127|HEMX_ECOLI	0.382	6.087e-05
sp|P0A6E1|AROL_ECOLI	-0.108	0.247
sp|P0ADZ7|YAJC_ECOLI	0.44	0.009
sp|P45577|PROQ_ECOLI	-0.501	1.558e-06
sp|P26647|PLSC_ECOLI	-0.232	0.138
sp|P32099|LPLA_ECOLI	0.066	0.938
sp|P0AG55|RL6_ECOLI	-0.38	6.243e-06
sp|P78067|YNJE_ECOLI	0.36	0.252
sp|P22106|ASNB_ECOLI	-0.248	0.003
sp|P31433|YICH_ECOLI	0.549	0.0003638
sp|P0A6C5|ARGA_ECOLI	-0.402	5.23e-06
sp|P0AC62|GLRX3_ECOLI	0.332	0.02
sp|P0C037|PPNP_ECOLI	0.14	1.0
sp|P0AE67|CHEY_ECOLI	0.424	0.144
sp|P22523|MUKB_ECOLI	0.242	5.041e-05
sp|P64554|QUEE_ECOLI	-0.118	0.314
sp|P33018|SFGH2_ECOLI	0.065	0.641
sp|P76402|YEGP_ECOLI	1.407	4.241e-08
sp|P0A7A9|IPYR_ECOLI	-0.162	0.05
sp|P26616|MAO1_ECOLI	-0.364	3.145e-06
sp|P76446|PDEN_ECOLI	0.674	0.044
sp|Q46802|YGEV_ECOLI	0.375	0.358
sp|P0A9K3|PHOL_ECOLI	-0.102	0.21
sp|P46130|YBHC_ECOLI	-0.399	0.0001256
sp|P65294|YGDR_ECOLI	1.247	7.297e-05
sp|P69503|APT_ECOLI	-0.512	0.0001429
sp|P0A8D3|YAII_ECOLI	-0.59	0.007
sp|P0A6M8|EFG_ECOLI	-0.197	9.235e-05
sp|P15034|AMPP_ECOLI	0.262	0.007
sp|P0A9U3|YBIT_ECOLI	-0.073	0.527
sp|P0AED7|DAPE_ECOLI	0.046	0.693
sp|P32680|YJAG_ECOLI	-0.399	0.023
sp|P0AEB7|YOAB_ECOLI	-0.041	0.848
sp|P0AGJ5|YFIF_ECOLI	0.361	0.002
sp|P0AEX9|MALE_ECOLI	0.478	5.751e-14
sp|P31806|NNR_ECOLI	0.807	1.413e-07
sp|P0A8E1|YCFP_ECOLI	0.447	0.0005494
sp|P0AB77|KBL_ECOLI	-0.039	0.386
sp|P0A8N3|SYK1_ECOLI	-0.275	1.828e-06
sp|P31224|ACRB_ECOLI	0.25	0.003
sp|P77695|GNSB_ECOLI	0.075	0.928
sp|P0AB98|ATP6_ECOLI	-0.151	0.286
sp|P0ABC3|HFLC_ECOLI	0.069	0.726
sp|P25397|TEHB_ECOLI	-0.499	0.057
sp|P08622|DNAJ_ECOLI	-0.01	0.592
sp|P0A717|KPRS_ECOLI	-0.375	7.845e-05
sp|P05825|FEPA_ECOLI	0.007	0.899
sp|P04805|SYE_ECOLI	-0.247	0.0005577
sp|P39161|UXUR_ECOLI	-0.44	0.046
sp|P31554|LPTD_ECOLI	0.427	8.93e-08
sp|P63417|YHBS_ECOLI	0.651	0.0001482
sp|P13035|GLPD_ECOLI	0.519	0.138
sp|P00934|THRC_ECOLI	-1.001	0.0
sp|P37751|WBBK_ECOLI	0.067	0.888
sp|P0AAA1|YAGU_ECOLI	-0.012	0.905
sp|P39831|YDFG_ECOLI	0.106	0.47
sp|P0A9S7|LIVG_ECOLI	0.296	0.001
sp|P69228|BAER_ECOLI	0.003	0.836
sp|Q46845|YGHU_ECOLI	0.56	1.763e-08
sp|P77522|SUFB_ECOLI	-0.25	0.035
sp|P0AFP6|GCH1L_ECOLI	0.189	0.065
sp|P0AFH2|OPPB_ECOLI	-0.417	0.026
sp|P0A6E4|ASSY_ECOLI	-0.542	1.643e-14
sp|P0AGA2|SECY_ECOLI	-0.175	0.256
sp|P0ADQ2|YIID_ECOLI	0.562	5.828e-05
sp|P77398|ARNA_ECOLI	0.19	0.782
sp|P0DMC7|RCSB_ECOLI	0.117	0.235
sp|P02943|LAMB_ECOLI	0.751	9.104e-15
sp|P37659|BCSG_ECOLI	-0.052	0.898
sp|P0A8J4|YBED_ECOLI	-0.084	0.946
sp|P0ADX7|YHHA_ECOLI	1.225	3.472e-10
sp|P22259|PCKA_ECOLI	0.758	0.0
sp|P0A812|RUVB_ECOLI	0.154	0.381
sp|P0AD14|BTSS_ECOLI	0.358	0.324
sp|P0AAS7|YBCJ_ECOLI	-0.277	0.096
sp|P0ABK2|CYDB_ECOLI	0.181	0.488
sp|P0AGD3|SODF_ECOLI	0.434	0.001
sp|P76550|YFFS_ECOLI	0.47	0.012
sp|P77581|ASTC_ECOLI	1.574	0.0
sp|P0AAN9|IRAP_ECOLI	0.486	0.104
sp|P08368|CREB_ECOLI	1.261	0.002
sp|P06961|CCA_ECOLI	0.368	0.134
sp|P36673|TRER_ECOLI	0.365	0.097
sp|P75691|YAHK_ECOLI	1.154	0.0
sp|P60422|RL2_ECOLI	-0.396	2.974e-09
sp|P36938|PGM_ECOLI	0.304	1.387e-05
sp|Q46856|YQHD_ECOLI	-0.444	0.0002813
sp|P0C0R7|RLME_ECOLI	0.083	0.702
sp|P37671|YIAJ_ECOLI	-0.544	0.071
sp|P75796|GSIA_ECOLI	0.343	0.088
sp|P06959|ODP2_ECOLI	0.105	0.095
sp|P0A9F9|METR_ECOLI	-0.763	0.012
sp|P67095|YFCE_ECOLI	0.003	0.856
sp|P66817|DIAA_ECOLI	-0.507	0.119
sp|P0ADV5|YHBW_ECOLI	0.105	0.605
sp|P33232|LLDD_ECOLI	0.197	0.09
sp|P23882|FMT_ECOLI	0.055	0.691
sp|P37647|KDGK_ECOLI	0.037	0.998
sp|P37759|RMLB1_ECOLI	-0.499	5.384e-08
sp|P23830|PSS_ECOLI	0.537	4.771e-07
sp|P27550|ACSA_ECOLI	1.378	0.0
sp|P76004|YCGM_ECOLI	1.066	3.874e-10
sp|P0A6U5|RSMG_ECOLI	-0.343	0.042
sp|P0A8E7|YAJQ_ECOLI	0.119	0.206
sp|P60546|KGUA_ECOLI	-0.149	0.146
sp|P76097|YDCJ_ECOLI	1.829	0.0
sp|P0ABU7|EXBB_ECOLI	-0.867	3.095e-10
sp|P0A8Y3|YIHX_ECOLI	0.744	8.432e-06
sp|P0AG03|UBIX_ECOLI	0.386	0.132
sp|P0AC41|SDHA_ECOLI	0.14	0.035
sp|P04335|FRSA_ECOLI	0.118	0.472
sp|P45464|LPOA_ECOLI	0.129	0.199
sp|P0A6G7|CLPP_ECOLI	-0.024	0.583
sp|P33221|PURT_ECOLI	-0.511	9.911e-07
sp|P15082|SRLR_ECOLI	0.297	0.212
sp|P0A6H8|CLSA_ECOLI	0.537	0.004
sp|P15254|PUR4_ECOLI	-0.385	1.11e-15
sp|P0AEQ3|GLNH_ECOLI	0.473	8.146e-09
sp|P06999|PFKB_ECOLI	0.034	0.629
sp|P0ADC6|LPTG_ECOLI	0.431	0.023
sp|P64455|YDCY_ECOLI	0.125	0.72
sp|P0A825|GLYA_ECOLI	-0.446	3.094e-12
sp|P0AD61|KPYK1_ECOLI	-0.197	0.001
sp|P03004|DNAA_ECOLI	0.059	0.606
sp|P12282|MOEB_ECOLI	-0.123	0.569
sp|P0ACS7|RPIR_ECOLI	0.2	0.573
sp|P77330|BORD_ECOLI	-0.356	0.056
sp|P0AGG2|TESB_ECOLI	0.255	0.084
sp|P0A9P6|DEAD_ECOLI	-0.972	0.0
sp|P36672|PTTBC_ECOLI	2.806	1.618e-11
sp|P0ABK5|CYSK_ECOLI	-0.135	0.055
sp|P0ADN6|YIFL_ECOLI	0.01	0.985
sp|P25524|CODA_ECOLI	-0.679	5.319e-12
sp|P0A698|UVRA_ECOLI	0.495	7.304e-09
sp|Q47146|FADE_ECOLI	0.659	0.0
sp|P0AEW9|K1PF_ECOLI	0.105	0.769
sp|P0A6U8|GLGA_ECOLI	0.332	0.004
sp|P33643|RLUD_ECOLI	-0.106	0.472
sp|P77171|YDCI_ECOLI	0.218	0.125
sp|P0ADX9|RSMD_ECOLI	-0.005	0.75
sp|P06983|HEM3_ECOLI	0.202	0.268
sp|P76187|YDHF_ECOLI	0.83	2.046e-06
sp|P00895|TRPE_ECOLI	-0.124	0.024
sp|P0AEG6|DSBC_ECOLI	-0.315	0.052
sp|P77444|SUFS_ECOLI	0.0008413	0.863
sp|P0A9S3|GATD_ECOLI	1.096	0.0
sp|P0AFD6|NUOI_ECOLI	0.367	0.009
sp|P37051|PURU_ECOLI	-0.485	8.365e-07
sp|P60624|RL24_ECOLI	-0.48	3.107e-05
sp|P39334|BDCR_ECOLI	0.134	0.626
sp|P35340|AHPF_ECOLI	0.08	0.252
sp|P0ABA6|ATPG_ECOLI	-0.349	2.527e-05
sp|Q46857|DKGA_ECOLI	0.888	5.451e-11
sp|P0ADZ4|RS15_ECOLI	-0.126	0.124
sp|P0AFA7|NHAB_ECOLI	0.078	0.954
sp|P0A8B2|YFCN_ECOLI	0.09	0.846
sp|P0A749|MURA_ECOLI	-0.121	0.142
sp|P60906|SYH_ECOLI	-0.069	0.305
sp|P33025|PSUG_ECOLI	1.328	2.798e-07
sp|P77173|ZIPA_ECOLI	0.343	0.087
sp|P21599|KPYK2_ECOLI	0.217	0.002
sp|P0AAF6|ARTP_ECOLI	0.598	0.0003587
sp|P36683|ACNB_ECOLI	0.545	0.0
sp|P0A9P0|DLDH_ECOLI	-0.029	0.706
sp|P77712|FADM_ECOLI	0.455	0.011
sp|P39199|PRMB_ECOLI	0.286	0.011
sp|P08142|ILVB_ECOLI	-0.314	0.0009798
sp|P0A8W5|YQGE_ECOLI	-0.089	0.871
sp|P28304|QOR1_ECOLI	0.951	0.0
sp|P64604|MLAD_ECOLI	-0.067	0.594
sp|P0AEZ1|METF_ECOLI	-0.703	9.119e-11
sp|P0A7A2|GPMB_ECOLI	0.066	0.913
sp|P0ABI8|CYOB_ECOLI	-0.47	0.0004593
sp|P0A944|RIMI_ECOLI	0.344	0.504
sp|P0ACJ8|CRP_ECOLI	0.483	9.825e-08
sp|P76015|DHAK_ECOLI	0.4	5.003e-05
sp|P0AEE3|DEGS_ECOLI	0.391	0.061
sp|P69425|TATB_ECOLI	-0.189	0.119
sp|P37146|RIR4_ECOLI	-0.574	0.002
sp|P00448|SODM_ECOLI	0.032	0.413
sp|P0AD01|DCUR_ECOLI	0.863	0.016
sp|P39838|RCSD_ECOLI	0.214	0.104
sp|P0AE18|MAP1_ECOLI	-0.35	0.000139
sp|P0ADS2|ZAPA_ECOLI	-0.112	0.509
sp|P0A8N0|MATP_ECOLI	-0.084	0.838
sp|P27303|EMRA_ECOLI	-0.566	9.937e-06
